  
       XFOIL         Version 6.99
  
 Calculated polar for: Smoothed ATR airfoil coordinates obtained  using
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     8.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -10.000  -0.8826   0.00946  -0.00441  -0.0440   0.8165   0.0125  23.6950 174.2755
  -9.500  -0.8302   0.00912  -0.00374  -0.0421   0.7701   0.0129  28.7890 174.5963
  -9.000  -0.7768   0.00887  -0.00313  -0.0404   0.7190   0.0133  34.3533 174.8546
  -8.500  -0.7236   0.00867  -0.00258  -0.0387   0.6547   0.0137  41.3080 175.1403
  -8.000  -0.6699   0.00844  -0.00213  -0.0372   0.5980   0.0144  47.4653 175.6125
  -7.500  -0.6142   0.00822  -0.00171  -0.0360   0.5667   0.0149  50.8165 175.9505
  -7.000  -0.5583   0.00798  -0.00136  -0.0349   0.5396   0.0158  53.7260 176.4885
  -6.500  -0.5026   0.00782  -0.00107  -0.0339   0.4992   0.0168  58.1237 177.1137
  -6.000  -0.4488   0.00781  -0.00080  -0.0326   0.4143   0.0182  67.5018 177.9662
  -5.500  -0.3934   0.00769  -0.00059  -0.0316   0.3694   0.0209  72.3703 179.4115
  -5.000  -0.3371   0.00753  -0.00043  -0.0307   0.3436   0.0257  75.1666 181.7279
  -4.500  -0.2803   0.00736  -0.00030  -0.0300   0.3260   0.0318  77.0821 184.2772
  -4.000  -0.2230   0.00724  -0.00018  -0.0294   0.3112   0.0376  78.7189 186.3227
  -3.500  -0.1653   0.00713  -0.00008  -0.0289   0.2989   0.0425  80.0858 187.8592
  -3.000  -0.1073   0.00705   0.00000  -0.0285   0.2896   0.0472  81.1332 189.1923
  -2.500  -0.0492   0.00697   0.00006  -0.0282   0.2803   0.0520  82.1862 190.4480
  -2.000   0.0089   0.00691   0.00010  -0.0278   0.2725   0.0581  83.0878 191.9193
  -1.500   0.0667   0.00682   0.00012  -0.0275   0.2645   0.0717  84.0224 194.7484
  -1.000   0.1243   0.00671   0.00012  -0.0271   0.2585   0.0943  84.7262 198.5613
  -0.500   0.1819   0.00661   0.00012  -0.0268   0.2524   0.1248  85.4470 202.7722
   0.000   0.2396   0.00654   0.00012  -0.0265   0.2465   0.1562  86.1557 206.5452
   0.500   0.2968   0.00646   0.00011  -0.0262   0.2400   0.2002  86.9459 211.4421
   1.000   0.3531   0.00626   0.00008  -0.0257   0.2359   0.2876  87.4510 220.8655
   2.000   0.4632   0.00582   0.00003  -0.0244   0.2255   0.5067  88.7436 244.4950
   3.000   0.5736   0.00558  -0.00002  -0.0230   0.2155   0.6902  90.0024 264.1117
   3.500   0.6311   0.00561  -0.00005  -0.0228   0.2122   0.7256  90.4358 267.8357
   4.000   0.6853   0.00554  -0.00009  -0.0218   0.2073   0.8089  91.0688 276.7305
   4.500   0.7397   0.00553  -0.00013  -0.0209   0.2032   0.8763  91.6056 284.0645
   5.000   0.7969   0.00566  -0.00020  -0.0206   0.1988   0.8932  92.1846 285.9145
   5.500   0.8540   0.00582  -0.00028  -0.0203   0.1938   0.9048  92.8499 287.1875
   6.000   0.9113   0.00596  -0.00040  -0.0200   0.1904   0.9149  93.3055 288.3035
   6.500   0.9675   0.00615  -0.00052  -0.0195   0.1851   0.9253  94.0221 289.4756
   7.000   1.0237   0.00632  -0.00069  -0.0191   0.1818   0.9373  94.4867 290.8693
   7.500   1.0789   0.00652  -0.00088  -0.0184   0.1770   0.9481  95.1538 292.1718
   8.000   1.1338   0.00674  -0.00112  -0.0177   0.1721   0.9563  95.8323 293.2007
   8.500   1.1885   0.00695  -0.00140  -0.0169   0.1678   0.9647  96.4538 294.3113
   9.000   1.2428   0.00719  -0.00174  -0.0161   0.1626   0.9756  97.1954 295.8323
   9.500   1.3049   0.00750  -0.00209  -0.0171   0.1568   0.9849  98.0337 297.2401
  10.000   1.3722   0.00786  -0.00251  -0.0192   0.1508   0.9895  98.9253 297.9861
  10.500   1.4397   0.00826  -0.00302  -0.0214   0.1443   0.9916  99.8933 298.3581
  11.000   1.5007   0.00877  -0.00354  -0.0223   0.1337   0.9986 101.5304 299.6943
  11.500   1.5572   0.00944  -0.00402  -0.0225   0.1198   1.0000 103.7378 300.0000
  12.000   1.5969   0.01009  -0.00454  -0.0192   0.1074   1.0000 105.7958 300.0000
  12.500   1.6344   0.01088  -0.00505  -0.0157   0.0938   1.0000 108.1880 300.0000
  13.000   1.6653   0.01168  -0.00563  -0.0110   0.0828   1.0000 110.2486 300.0000
  13.500   1.6932   0.01260  -0.00618  -0.0061   0.0721   1.0000 112.4194 300.0000
  14.000   1.7147   0.01408  -0.00639  -0.0011   0.0565   1.0000 115.9576 300.0000
  14.500   1.7386   0.01561  -0.00666   0.0029   0.0462   1.0000 118.6912 300.0000
  15.000   1.7509   0.01793  -0.00632   0.0074   0.0335   1.0000 122.7889 300.0000
  15.500   1.7660   0.02032  -0.00602   0.0109   0.0268   1.0000 125.4994 300.0000
  16.000   1.7715   0.02368  -0.00500   0.0140   0.0201   1.0000 128.8115 300.0000
  16.500   1.7781   0.02739  -0.00370   0.0159   0.0169   1.0000 130.7306 300.0000
  17.000   1.7687   0.03299  -0.00079   0.0169   0.0128   1.0000 133.5384 300.0000
  17.500   1.7615   0.03915   0.00259   0.0165   0.0117   1.0000 134.3919 300.0000
  18.000   1.7386   0.04745   0.00802   0.0148   0.0109   1.0000 135.1124 300.0000
  18.500   1.6979   0.05833   0.01608   0.0117   0.0104   1.0000 135.5257 300.0000
  19.000   1.6376   0.07221   0.02745   0.0070   0.0103   1.0000 135.6021 300.0000
  19.500   1.5680   0.08751   0.04099   0.0014   0.0106   1.0000 135.3082 300.0000
  20.000   1.5009   0.10280   0.05574  -0.0046   0.0102   1.0000 135.7171 300.0000
