  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 4416                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.220     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -14.750  -1.1846   0.01380   0.00980  -0.1080   0.9469   0.0177
 -14.500  -1.1598   0.01344   0.00941  -0.1074   0.9413   0.0180
 -14.250  -1.1343   0.01310   0.00904  -0.1069   0.9365   0.0182
 -14.000  -1.1083   0.01280   0.00870  -0.1065   0.9310   0.0185
 -13.750  -1.0820   0.01252   0.00839  -0.1061   0.9252   0.0186
 -13.500  -1.0561   0.01216   0.00799  -0.1057   0.9198   0.0191
 -13.000  -1.0034   0.01152   0.00730  -0.1049   0.9077   0.0201
 -12.750  -0.9766   0.01126   0.00701  -0.1046   0.9000   0.0205
 -12.500  -0.9493   0.01101   0.00673  -0.1043   0.8926   0.0208
 -12.250  -0.9220   0.01081   0.00648  -0.1040   0.8832   0.0210
 -12.000  -0.8949   0.01054   0.00618  -0.1037   0.8736   0.0216
 -11.750  -0.8676   0.01028   0.00589  -0.1035   0.8656   0.0222
 -11.500  -0.8400   0.01006   0.00564  -0.1032   0.8575   0.0228
 -11.250  -0.8119   0.00985   0.00541  -0.1031   0.8510   0.0233
 -11.000  -0.7837   0.00969   0.00521  -0.1029   0.8430   0.0236
 -10.750  -0.7557   0.00944   0.00495  -0.1028   0.8368   0.0245
 -10.500  -0.7277   0.00924   0.00473  -0.1026   0.8288   0.0252
 -10.250  -0.6992   0.00906   0.00453  -0.1026   0.8222   0.0258
 -10.000  -0.6708   0.00892   0.00435  -0.1025   0.8135   0.0263
  -9.750  -0.6423   0.00872   0.00414  -0.1024   0.8060   0.0272
  -9.500  -0.6140   0.00855   0.00395  -0.1023   0.7969   0.0282
  -9.250  -0.5853   0.00841   0.00378  -0.1022   0.7882   0.0289
  -9.000  -0.5565   0.00827   0.00361  -0.1022   0.7799   0.0297
  -8.750  -0.5280   0.00812   0.00344  -0.1021   0.7703   0.0309
  -8.500  -0.4991   0.00799   0.00329  -0.1021   0.7617   0.0319
  -8.250  -0.4703   0.00788   0.00315  -0.1021   0.7518   0.0328
  -8.000  -0.4416   0.00774   0.00300  -0.1021   0.7415   0.0343
  -7.750  -0.4126   0.00763   0.00287  -0.1021   0.7324   0.0354
  -7.500  -0.3838   0.00752   0.00273  -0.1021   0.7222   0.0369
  -7.250  -0.3549   0.00743   0.00261  -0.1021   0.7110   0.0383
  -7.000  -0.3258   0.00733   0.00250  -0.1021   0.7011   0.0397
  -6.750  -0.2969   0.00723   0.00238  -0.1021   0.6908   0.0417
  -6.500  -0.2679   0.00717   0.00228  -0.1021   0.6794   0.0433
  -6.250  -0.2389   0.00708   0.00217  -0.1021   0.6684   0.0456
  -6.000  -0.2097   0.00701   0.00208  -0.1022   0.6579   0.0474
  -5.750  -0.1808   0.00693   0.00199  -0.1022   0.6470   0.0501
  -5.500  -0.1518   0.00688   0.00191  -0.1023   0.6352   0.0526
  -5.250  -0.1228   0.00682   0.00183  -0.1023   0.6239   0.0552
  -5.000  -0.0936   0.00675   0.00175  -0.1024   0.6135   0.0585
  -4.750  -0.0645   0.00671   0.00169  -0.1025   0.6025   0.0614
  -4.500  -0.0356   0.00666   0.00162  -0.1025   0.5909   0.0651
  -4.250  -0.0065   0.00662   0.00156  -0.1026   0.5802   0.0693
  -4.000   0.0227   0.00658   0.00151  -0.1027   0.5701   0.0731
  -3.750   0.0518   0.00654   0.00146  -0.1027   0.5596   0.0777
  -3.500   0.0807   0.00651   0.00142  -0.1028   0.5487   0.0831
  -3.250   0.1099   0.00647   0.00138  -0.1029   0.5398   0.0886
  -3.000   0.1391   0.00645   0.00134  -0.1030   0.5304   0.0943
  -2.750   0.1681   0.00643   0.00131  -0.1030   0.5206   0.1001
  -2.500   0.1974   0.00639   0.00128  -0.1032   0.5129   0.1077
  -2.250   0.2263   0.00637   0.00126  -0.1032   0.5037   0.1156
  -2.000   0.2556   0.00634   0.00124  -0.1034   0.4969   0.1237
  -1.750   0.2847   0.00633   0.00122  -0.1035   0.4888   0.1324
  -1.500   0.3141   0.00630   0.00121  -0.1036   0.4827   0.1412
  -1.250   0.3431   0.00630   0.00121  -0.1037   0.4748   0.1504
  -1.000   0.3725   0.00626   0.00120  -0.1039   0.4700   0.1618
  -0.750   0.4015   0.00626   0.00120  -0.1040   0.4630   0.1737
  -0.500   0.4308   0.00623   0.00120  -0.1042   0.4583   0.1861
  -0.250   0.4601   0.00621   0.00121  -0.1043   0.4531   0.1990
   0.000   0.4890   0.00622   0.00123  -0.1044   0.4465   0.2126
   0.250   0.5185   0.00619   0.00123  -0.1046   0.4432   0.2272
   0.500   0.5476   0.00618   0.00125  -0.1047   0.4384   0.2424
   0.750   0.5766   0.00619   0.00128  -0.1048   0.4322   0.2585
   1.000   0.6060   0.00617   0.00130  -0.1050   0.4293   0.2753
   1.250   0.6351   0.00617   0.00133  -0.1052   0.4248   0.2935
   1.500   0.6638   0.00618   0.00136  -0.1053   0.4189   0.3150
   1.750   0.6931   0.00616   0.00139  -0.1054   0.4157   0.3378
   2.000   0.7220   0.00614   0.00143  -0.1056   0.4112   0.3647
   2.250   0.7504   0.00614   0.00148  -0.1056   0.4049   0.3987
   2.500   0.7791   0.00605   0.00153  -0.1058   0.4012   0.4585
   2.750   0.8074   0.00600   0.00159  -0.1058   0.3955   0.5154
