  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.220     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -1.6097   0.02020   0.01634  -0.0298   1.0000   0.0080
 -14.800  -1.5997   0.01957   0.01567  -0.0278   1.0000   0.0081
 -14.600  -1.5890   0.01900   0.01506  -0.0258   1.0000   0.0082
 -14.400  -1.5774   0.01848   0.01450  -0.0238   1.0000   0.0083
 -14.200  -1.5628   0.01799   0.01396  -0.0223   1.0000   0.0085
 -14.000  -1.5468   0.01751   0.01344  -0.0210   1.0000   0.0086
 -13.800  -1.5300   0.01706   0.01296  -0.0198   1.0000   0.0087
 -13.600  -1.5125   0.01664   0.01250  -0.0187   1.0000   0.0087
 -13.400  -1.4951   0.01620   0.01202  -0.0176   1.0000   0.0089
 -13.200  -1.4785   0.01567   0.01145  -0.0164   1.0000   0.0092
 -13.000  -1.4607   0.01521   0.01096  -0.0153   1.0000   0.0095
 -12.800  -1.4422   0.01481   0.01053  -0.0143   1.0000   0.0098
 -12.600  -1.4231   0.01443   0.01013  -0.0134   1.0000   0.0101
 -12.400  -1.4036   0.01408   0.00977  -0.0126   1.0000   0.0104
 -12.200  -1.3838   0.01376   0.00942  -0.0117   1.0000   0.0106
 -12.000  -1.3637   0.01346   0.00909  -0.0110   1.0000   0.0108
 -11.800  -1.3435   0.01317   0.00878  -0.0102   1.0000   0.0110
 -11.600  -1.3231   0.01290   0.00849  -0.0095   1.0000   0.0111
 -11.400  -1.3038   0.01254   0.00811  -0.0086   1.0000   0.0116
 -11.200  -1.2842   0.01222   0.00777  -0.0077   1.0000   0.0121
 -11.000  -1.2647   0.01193   0.00748  -0.0068   1.0000   0.0125
 -10.800  -1.2453   0.01167   0.00721  -0.0058   1.0000   0.0129
 -10.600  -1.2263   0.01144   0.00696  -0.0048   1.0000   0.0132
 -10.400  -1.2073   0.01122   0.00674  -0.0037   1.0000   0.0135
 -10.200  -1.1888   0.01102   0.00653  -0.0026   1.0000   0.0137
 -10.000  -1.1705   0.01078   0.00627  -0.0014   1.0000   0.0142
  -9.800  -1.1453   0.01049   0.00598  -0.0017   0.9995   0.0151
  -9.600  -1.1199   0.01025   0.00574  -0.0020   0.9989   0.0158
  -9.400  -1.0942   0.01003   0.00552  -0.0024   0.9982   0.0163
  -9.200  -1.0683   0.00983   0.00532  -0.0028   0.9974   0.0166
  -9.000  -1.0426   0.00959   0.00507  -0.0032   0.9965   0.0177
  -8.800  -1.0167   0.00935   0.00484  -0.0037   0.9956   0.0187
