  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -1.3823   0.03142   0.02664  -0.0311   1.0000   0.0153
 -14.750  -1.3766   0.02974   0.02488  -0.0303   1.0000   0.0155
 -14.500  -1.3696   0.02828   0.02334  -0.0293   1.0000   0.0158
 -14.250  -1.3616   0.02699   0.02197  -0.0280   1.0000   0.0160
 -14.000  -1.3525   0.02585   0.02075  -0.0266   1.0000   0.0163
 -13.750  -1.3420   0.02487   0.01968  -0.0250   1.0000   0.0166
 -13.500  -1.3297   0.02404   0.01877  -0.0234   1.0000   0.0169
 -13.250  -1.3255   0.02280   0.01746  -0.0206   1.0000   0.0173
 -13.000  -1.3157   0.02191   0.01652  -0.0183   1.0000   0.0176
 -12.750  -1.2996   0.02123   0.01579  -0.0169   1.0000   0.0181
 -12.500  -1.2817   0.02061   0.01513  -0.0157   1.0000   0.0186
 -12.250  -1.2629   0.02003   0.01448  -0.0146   1.0000   0.0191
 -12.000  -1.2428   0.01951   0.01390  -0.0136   1.0000   0.0196
 -11.750  -1.2272   0.01861   0.01295  -0.0121   1.0000   0.0202
 -11.500  -1.2076   0.01801   0.01233  -0.0110   1.0000   0.0208
 -11.250  -1.1866   0.01751   0.01179  -0.0101   1.0000   0.0215
 -11.000  -1.1650   0.01704   0.01127  -0.0093   1.0000   0.0222
 -10.750  -1.1444   0.01649   0.01067  -0.0082   1.0000   0.0229
 -10.500  -1.1238   0.01592   0.01010  -0.0072   1.0000   0.0239
 -10.250  -1.1015   0.01552   0.00966  -0.0064   1.0000   0.0248
 -10.000  -1.0790   0.01515   0.00926  -0.0055   1.0000   0.0257
  -9.750  -1.0587   0.01459   0.00868  -0.0044   1.0000   0.0269
  -9.500  -1.0370   0.01420   0.00828  -0.0033   1.0000   0.0281
  -9.250  -1.0148   0.01389   0.00793  -0.0023   1.0000   0.0293
  -9.000  -0.9945   0.01344   0.00747  -0.0010   1.0000   0.0309
  -8.750  -0.9730   0.01311   0.00714   0.0001   1.0000   0.0325
  -8.500  -0.9514   0.01280   0.00680   0.0013   1.0000   0.0340
  -8.250  -0.9310   0.01241   0.00643   0.0027   1.0000   0.0362
  -8.000  -0.9094   0.01216   0.00616   0.0039   1.0000   0.0382
  -7.750  -0.8892   0.01180   0.00582   0.0053   1.0000   0.0409
  -7.500  -0.8678   0.01157   0.00557   0.0066   1.0000   0.0434
  -7.250  -0.8474   0.01123   0.00526   0.0080   1.0000   0.0470
  -7.000  -0.8263   0.01098   0.00501   0.0092   1.0000   0.0507
  -6.750  -0.7976   0.01070   0.00476   0.0089   0.9992   0.0556
  -6.500  -0.7634   0.01038   0.00448   0.0074   0.9976   0.0625
  -6.250  -0.7289   0.01007   0.00421   0.0058   0.9959   0.0708
  -6.000  -0.6940   0.00976   0.00396   0.0041   0.9944   0.0813
  -5.750  -0.6596   0.00943   0.00372   0.0026   0.9926   0.0944
  -5.500  -0.6261   0.00914   0.00349   0.0012   0.9899   0.1092
  -5.250  -0.5915   0.00880   0.00326  -0.0004   0.9877   0.1279
  -5.000  -0.5560   0.00848   0.00305  -0.0022   0.9860   0.1495
  -4.750  -0.5216   0.00816   0.00284  -0.0037   0.9836   0.1735
  -4.500  -0.4898   0.00786   0.00266  -0.0046   0.9790   0.1990
  -4.250  -0.4567   0.00756   0.00248  -0.0058   0.9754   0.2266
  -4.000  -0.4283   0.00730   0.00232  -0.0059   0.9680   0.2536
  -3.750  -0.3998   0.00704   0.00218  -0.0060   0.9605   0.2814
  -3.500  -0.3723   0.00681   0.00204  -0.0058   0.9519   0.3094
  -3.250  -0.3461   0.00659   0.00191  -0.0053   0.9410   0.3370
  -3.000  -0.3200   0.00640   0.00180  -0.0048   0.9290   0.3647
  -2.750  -0.2938   0.00623   0.00170  -0.0043   0.9157   0.3924
  -2.250  -0.2410   0.00594   0.00151  -0.0034   0.8852   0.4475
  -2.000  -0.2144   0.00582   0.00144  -0.0030   0.8676   0.4748
  -1.500  -0.1610   0.00563   0.00131  -0.0022   0.8287   0.5291
  -1.250  -0.1343   0.00556   0.00126  -0.0018   0.8076   0.5560
  -1.000  -0.1074   0.00550   0.00122  -0.0014   0.7849   0.5828
  -0.750  -0.0806   0.00546   0.00118  -0.0011   0.7616   0.6093
  -0.500  -0.0537   0.00543   0.00116  -0.0007   0.7376   0.6357
  -0.250  -0.0269   0.00542   0.00115  -0.0003   0.7128   0.6618
   0.000   0.0000   0.00541   0.00114   0.0000   0.6875   0.6876
   0.250   0.0269   0.00542   0.00115   0.0003   0.6618   0.7128
   0.500   0.0537   0.00543   0.00116   0.0007   0.6357   0.7376
   0.750   0.0806   0.00546   0.00118   0.0011   0.6093   0.7616
   1.000   0.1074   0.00550   0.00122   0.0014   0.5828   0.7849
