  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 23017 Airfoil                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -12.000  -1.1841   0.01365   0.00875  -0.0257   0.9952   0.0267
 -11.900  -1.1720   0.01346   0.00857  -0.0259   0.9947   0.0270
 -11.800  -1.1595   0.01329   0.00840  -0.0261   0.9942   0.0273
 -11.700  -1.1469   0.01314   0.00824  -0.0263   0.9937   0.0276
 -11.600  -1.1342   0.01299   0.00809  -0.0265   0.9932   0.0279
 -11.500  -1.1213   0.01284   0.00795  -0.0267   0.9926   0.0282
 -11.400  -1.1098   0.01271   0.00781  -0.0267   0.9913   0.0284
 -11.300  -1.0990   0.01259   0.00768  -0.0264   0.9894   0.0286
 -11.200  -1.0880   0.01247   0.00756  -0.0263   0.9876   0.0288
 -11.100  -1.0766   0.01235   0.00744  -0.0262   0.9858   0.0290
 -11.000  -1.0648   0.01224   0.00732  -0.0261   0.9842   0.0292
 -10.900  -1.0538   0.01209   0.00717  -0.0260   0.9825   0.0295
 -10.800  -1.0451   0.01196   0.00703  -0.0253   0.9793   0.0299
 -10.700  -1.0356   0.01183   0.00691  -0.0249   0.9764   0.0302
 -10.600  -1.0257   0.01172   0.00679  -0.0244   0.9737   0.0305
 -10.500  -1.0160   0.01161   0.00667  -0.0240   0.9710   0.0308
 -10.400  -1.0064   0.01150   0.00657  -0.0235   0.9677   0.0311
 -10.300  -0.9968   0.01141   0.00646  -0.0230   0.9643   0.0314
 -10.200  -0.9871   0.01132   0.00636  -0.0225   0.9611   0.0317
 -10.100  -0.9770   0.01123   0.00626  -0.0221   0.9580   0.0320
 -10.000  -0.9669   0.01114   0.00617  -0.0217   0.9544   0.0322
  -9.900  -0.9571   0.01105   0.00607  -0.0212   0.9507   0.0325
  -9.800  -0.9476   0.01094   0.00594  -0.0207   0.9472   0.0330
  -9.700  -0.9375   0.01083   0.00583  -0.0204   0.9436   0.0334
  -9.600  -0.9274   0.01073   0.00573  -0.0199   0.9395   0.0338
  -9.500  -0.9174   0.01065   0.00564  -0.0195   0.9355   0.0342
  -9.400  -0.9069   0.01056   0.00554  -0.0192   0.9319   0.0346
  -9.300  -0.8964   0.01048   0.00545  -0.0189   0.9277   0.0349
  -9.200  -0.8860   0.01041   0.00536  -0.0186   0.9233   0.0353
  -9.100  -0.8754   0.01034   0.00528  -0.0183   0.9193   0.0355
  -9.000  -0.8647   0.01025   0.00519  -0.0180   0.9149   0.0359
  -8.900  -0.8545   0.01016   0.00508  -0.0176   0.9101   0.0365
  -8.800  -0.8441   0.01008   0.00499  -0.0173   0.9056   0.0370
  -8.700  -0.8333   0.01000   0.00490  -0.0170   0.9011   0.0375
  -8.600  -0.8226   0.00992   0.00482  -0.0168   0.8959   0.0380
  -8.500  -0.8119   0.00986   0.00474  -0.0165   0.8910   0.0385
  -8.400  -0.8009   0.00980   0.00466  -0.0163   0.8862   0.0389
  -8.200  -0.7794   0.00966   0.00449  -0.0158   0.8755   0.0400
  -8.100  -0.7685   0.00958   0.00441  -0.0155   0.8703   0.0406
  -8.000  -0.7577   0.00951   0.00433  -0.0153   0.8645   0.0412
  -7.900  -0.7468   0.00945   0.00426  -0.0151   0.8591   0.0418
  -7.800  -0.7357   0.00939   0.00419  -0.0149   0.8534   0.0423
  -7.700  -0.7247   0.00935   0.00412  -0.0146   0.8473   0.0428
  -7.600  -0.7137   0.00929   0.00404  -0.0145   0.8418   0.0434
  -7.500  -0.7028   0.00922   0.00396  -0.0142   0.8355   0.0443
  -7.400  -0.6919   0.00916   0.00389  -0.0140   0.8294   0.0451
  -7.300  -0.6808   0.00910   0.00383  -0.0138   0.8235   0.0458
  -7.200  -0.6697   0.00906   0.00376  -0.0137   0.8168   0.0465
  -7.100  -0.6584   0.00901   0.00370  -0.0135   0.8108   0.0470
  -7.000  -0.6474   0.00895   0.00363  -0.0133   0.8042   0.0480
  -6.900  -0.6365   0.00890   0.00356  -0.0131   0.7976   0.0489
  -6.800  -0.6252   0.00884   0.00350  -0.0129   0.7912   0.0498
  -6.700  -0.6141   0.00880   0.00344  -0.0128   0.7841   0.0506
  -6.600  -0.6028   0.00876   0.00338  -0.0126   0.7778   0.0513
  -6.500  -0.5917   0.00871   0.00332  -0.0125   0.7706   0.0525
  -6.400  -0.5806   0.00866   0.00326  -0.0123   0.7640   0.0537
  -6.300  -0.5694   0.00861   0.00320  -0.0122   0.7569   0.0549
  -6.200  -0.5581   0.00858   0.00315  -0.0120   0.7499   0.0558
  -6.100  -0.5468   0.00854   0.00309  -0.0119   0.7430   0.0570
  -5.900  -0.5245   0.00845   0.00298  -0.0116   0.7291   0.0597
  -5.800  -0.5132   0.00842   0.00293  -0.0115   0.7215   0.0609
  -5.700  -0.5019   0.00838   0.00288  -0.0113   0.7148   0.0623
  -5.600  -0.4907   0.00833   0.00283  -0.0112   0.7070   0.0640
  -5.500  -0.4795   0.00830   0.00278  -0.0110   0.6991   0.0657
