  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.220     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------  
 -15.000  -1.1886   0.02132   0.01829  -0.1069   0.9957   0.0092
 -14.750  -1.1615   0.02030   0.01720  -0.1078   0.9950   0.0093
 -14.500  -1.1334   0.01937   0.01620  -0.1087   0.9943   0.0095
 -14.250  -1.1044   0.01853   0.01529  -0.1096   0.9938   0.0096
 -14.000  -1.0779   0.01783   0.01452  -0.1098   0.9917   0.0097
 -13.750  -1.0503   0.01720   0.01384  -0.1101   0.9896   0.0098
 -13.500  -1.0244   0.01631   0.01287  -0.1103   0.9871   0.0100
 -13.250  -0.9992   0.01547   0.01194  -0.1103   0.9842   0.0103
 -13.000  -0.9756   0.01485   0.01127  -0.1097   0.9798   0.0106
 -12.750  -0.9502   0.01432   0.01069  -0.1093   0.9761   0.0108
 -12.500  -0.9254   0.01385   0.01017  -0.1087   0.9717   0.0110
 -12.250  -0.9001   0.01341   0.00967  -0.1082   0.9671   0.0112
 -12.000  -0.8742   0.01299   0.00921  -0.1078   0.9628   0.0114
 -11.750  -0.8480   0.01261   0.00877  -0.1074   0.9578   0.0116
 -11.500  -0.8216   0.01226   0.00837  -0.1070   0.9531   0.0117
 -11.250  -0.7950   0.01185   0.00791  -0.1067   0.9479   0.0119
 -10.750  -0.7419   0.01099   0.00695  -0.1060   0.9368   0.0127
 -10.500  -0.7150   0.01069   0.00659  -0.1057   0.9297   0.0131
 -10.250  -0.6874   0.01041   0.00627  -0.1055   0.9218   0.0134
 -10.000  -0.6598   0.01016   0.00598  -0.1052   0.9136   0.0137
  -9.750  -0.6320   0.00994   0.00570  -0.1050   0.9056   0.0139
  -9.500  -0.6044   0.00958   0.00529  -0.1049   0.8994   0.0145
  -9.000  -0.5482   0.00907   0.00472  -0.1046   0.8858   0.0155
  -8.750  -0.5200   0.00888   0.00447  -0.1045   0.8787   0.0159
  -8.500  -0.4914   0.00869   0.00426  -0.1045   0.8719   0.0163
  -8.250  -0.4632   0.00844   0.00396  -0.1044   0.8648   0.0170
  -8.000  -0.4348   0.00824   0.00373  -0.1043   0.8570   0.0178
  -7.750  -0.4062   0.00807   0.00353  -0.1043   0.8492   0.0184
  -7.500  -0.3776   0.00794   0.00336  -0.1042   0.8405   0.0189
  -7.250  -0.3491   0.00773   0.00312  -0.1042   0.8318   0.0200
  -7.000  -0.3204   0.00758   0.00294  -0.1042   0.8234   0.0209
  -6.750  -0.2917   0.00746   0.00278  -0.1041   0.8140   0.0216
  -6.500  -0.2631   0.00731   0.00260  -0.1041   0.8041   0.0228
  -6.250  -0.2343   0.00718   0.00244  -0.1041   0.7944   0.0241
  -6.000  -0.2055   0.00709   0.00231  -0.1041   0.7844   0.0250
  -5.750  -0.1768   0.00695   0.00216  -0.1041   0.7739   0.0269
  -5.500  -0.1480   0.00687   0.00204  -0.1041   0.7628   0.0282
  -5.250  -0.1193   0.00677   0.00190  -0.1041   0.7514   0.0303
  -5.000  -0.0904   0.00669   0.00180  -0.1042   0.7400   0.0321
  -4.750  -0.0617   0.00660   0.00168  -0.1042   0.7282   0.0347
  -4.250  -0.0041   0.00646   0.00150  -0.1043   0.7040   0.0403
  -4.000   0.0247   0.00640   0.00141  -0.1043   0.6914   0.0438
  -3.750   0.0535   0.00636   0.00134  -0.1043   0.6787   0.0469
  -3.500   0.0823   0.00630   0.00126  -0.1044   0.6658   0.0522
  -3.250   0.1110   0.00626   0.00120  -0.1044   0.6527   0.0574
  -3.000   0.1398   0.00622   0.00114  -0.1045   0.6398   0.0633
  -2.750   0.1685   0.00619   0.00110  -0.1045   0.6266   0.0698
  -2.500   0.1973   0.00617   0.00105  -0.1046   0.6137   0.0769
  -2.250   0.2260   0.00614   0.00102  -0.1046   0.6007   0.0856
  -2.000   0.2547   0.00612   0.00098  -0.1047   0.5881   0.0956
  -1.750   0.2834   0.00610   0.00096  -0.1048   0.5757   0.1065
  -1.500   0.3121   0.00608   0.00094  -0.1048   0.5638   0.1187
  -1.250   0.3408   0.00607   0.00093  -0.1049   0.5522   0.1329
  -1.000   0.3695   0.00605   0.00092  -0.1050   0.5411   0.1483
  -0.750   0.3981   0.00605   0.00092  -0.1050   0.5301   0.1647
  -0.500   0.4269   0.00604   0.00093  -0.1051   0.5200   0.1816
  -0.250   0.4556   0.00602   0.00094  -0.1052   0.5108   0.2020
   0.000   0.4844   0.00601   0.00095  -0.1053   0.5019   0.2221
   0.500   0.5418   0.00599   0.00099  -0.1055   0.4855   0.2707
   0.750   0.5704   0.00598   0.00103  -0.1056   0.4777   0.2988
   1.000   0.5992   0.00596   0.00106  -0.1057   0.4707   0.3313
   1.250   0.6277   0.00592   0.00110  -0.1058   0.4640   0.3728
   1.500   0.6561   0.00580   0.00114  -0.1059   0.4574   0.4517
   1.750   0.6843   0.00565   0.00121  -0.1060   0.4512   0.5505
   2.000   0.7125   0.00554   0.00127  -0.1061   0.4450   0.6325
   2.250   0.7405   0.00544   0.00134  -0.1061   0.4388   0.7141
   2.500   0.7681   0.00531   0.00142  -0.1060   0.4328   0.8039
   2.750   0.7935   0.00516   0.00151  -0.1053   0.4265   0.9036
   3.000   0.8187   0.00510   0.00158  -0.1045   0.4202   0.9805
   3.250   0.8548   0.00519   0.00164  -0.1062   0.4124   1.0000
   3.500   0.8826   0.00530   0.00170  -0.1061   0.4034   1.0000
   3.750   0.9105   0.00541   0.00177  -0.1061   0.3936   1.0000
   4.000   0.9380   0.00555   0.00186  -0.1059   0.3810   1.0000
   4.250   0.9652   0.00572   0.00196  -0.1058   0.3664   1.0000
   4.500   0.9922   0.00589   0.00207  -0.1055   0.3513   1.0000
   4.750   1.0191   0.00608   0.00219  -0.1053   0.3353   1.0000
   5.000   1.0455   0.00631   0.00233  -0.1050   0.3172   1.0000
   5.250   1.0718   0.00654   0.00248  -0.1047   0.2991   1.0000
   5.500   1.0974   0.00682   0.00266  -0.1042   0.2784   1.0000
   5.750   1.1226   0.00714   0.00286  -0.1038   0.2558   1.0000
   6.000   1.1474   0.00748   0.00308  -0.1032   0.2319   1.0000
   6.250   1.1717   0.00785   0.00333  -0.1025   0.2068   1.0000
   6.500   1.1955   0.00825   0.00360  -0.1018   0.1810   1.0000
   6.750   1.2189   0.00868   0.00390  -0.1010   0.1556   1.0000
   7.000   1.2417   0.00914   0.00422  -0.1001   0.1309   1.0000
   7.250   1.2648   0.00957   0.00453  -0.0993   0.1105   1.0000
   7.500   1.2878   0.00999   0.00485  -0.0985   0.0925   1.0000
   7.750   1.3108   0.01040   0.00517  -0.0976   0.0781   1.0000
   8.000   1.3339   0.01078   0.00549  -0.0968   0.0666   1.0000
   8.250   1.3567   0.01116   0.00581  -0.0959   0.0571   1.0000
   8.500   1.3797   0.01152   0.00613  -0.0950   0.0498   1.0000
   8.750   1.4023   0.01189   0.00645  -0.0941   0.0436   1.0000
   9.000   1.4249   0.01224   0.00677  -0.0932   0.0389   1.0000
   9.250   1.4473   0.01258   0.00710  -0.0922   0.0351   1.0000
   9.500   1.4689   0.01295   0.00745  -0.0912   0.0316   1.0000
   9.750   1.4897   0.01333   0.00781  -0.0899   0.0285   1.0000
  10.000   1.5104   0.01368   0.00815  -0.0887   0.0264   1.0000
  10.250   1.5283   0.01407   0.00854  -0.0869   0.0242   1.0000
  10.500   1.5467   0.01444   0.00892  -0.0852   0.0228   1.0000
  10.750   1.5636   0.01490   0.00937  -0.0834   0.0210   1.0000
  11.000   1.5816   0.01531   0.00979  -0.0818   0.0199   1.0000
  11.250   1.5979   0.01581   0.01030  -0.0799   0.0185   1.0000
  11.500   1.6150   0.01629   0.01079  -0.0782   0.0177   1.0000
  11.750   1.6312   0.01682   0.01134  -0.0765   0.0168   1.0000
  12.000   1.6460   0.01744   0.01197  -0.0746   0.0157   1.0000
  12.250   1.6618   0.01802   0.01257  -0.0729   0.0152   1.0000
  12.500   1.6769   0.01866   0.01323  -0.0712   0.0145   1.0000
  12.750   1.6905   0.01941   0.01400  -0.0694   0.0137   1.0000
  13.000   1.7035   0.02020   0.01482  -0.0676   0.0131   1.0000
  13.250   1.7175   0.02097   0.01562  -0.0659   0.0127   1.0000
  13.500   1.7302   0.02184   0.01652  -0.0643   0.0123   1.0000
  13.750   1.7417   0.02282   0.01753  -0.0625   0.0118   1.0000
  14.000   1.7515   0.02396   0.01870  -0.0607   0.0112   1.0000
  14.250   1.7626   0.02504   0.01982  -0.0592   0.0110   1.0000
  14.500   1.7735   0.02617   0.02099  -0.0577   0.0107   1.0000
  14.750   1.7831   0.02744   0.02230  -0.0562   0.0104   1.0000
  15.000   1.7913   0.02885   0.02374  -0.0547   0.0100   1.0000
  15.250   1.7981   0.03043   0.02537  -0.0533   0.0097   1.0000
  15.500   1.8025   0.03226   0.02725  -0.0518   0.0093   1.0000
  15.750   1.8096   0.03390   0.02895  -0.0506   0.0091   1.0000
  16.000   1.8160   0.03569   0.03079  -0.0495   0.0090   1.0000
  16.250   1.8213   0.03763   0.03279  -0.0485   0.0088   1.0000
  16.500   1.8254   0.03974   0.03494  -0.0476   0.0086   1.0000
  16.750   1.8283   0.04203   0.03730  -0.0468   0.0084   1.0000
  17.000   1.8301   0.04452   0.03984  -0.0461   0.0082   1.0000
  17.250   1.8302   0.04722   0.04259  -0.0455   0.0080   1.0000
  17.500   1.8283   0.05023   0.04568  -0.0450   0.0078   1.0000
  17.750   1.8247   0.05350   0.04902  -0.0446   0.0076   1.0000
  18.000   1.8242   0.05646   0.05205  -0.0444   0.0075   1.0000
  18.250   1.8228   0.05959   0.05525  -0.0443   0.0075   1.0000
  18.500   1.8204   0.06288   0.05861  -0.0443   0.0074   1.0000
  18.750   1.8166   0.06639   0.06220  -0.0444   0.0073   1.0000
  19.000   1.8119   0.07005   0.06592  -0.0446   0.0072   1.0000
  19.250   1.8066   0.07383   0.06977  -0.0450   0.0070   1.0000
  19.500   1.7998   0.07784   0.07386  -0.0455   0.0069   1.0000
  19.750   1.7920   0.08202   0.07812  -0.0461   0.0068   1.0000
  20.000   1.7837   0.08633   0.08250  -0.0468   0.0067   1.0000
  20.250   1.7747   0.09076   0.08700  -0.0477   0.0066   1.0000
  20.500   1.7644   0.09540   0.09172  -0.0487   0.0065   1.0000
  20.750   1.7530   0.10028   0.09668  -0.0500   0.0064   1.0000
  21.000   1.7407   0.10535   0.10184  -0.0514   0.0063   1.0000
  21.250   1.7274   0.11059   0.10716  -0.0531   0.0062   1.0000
