  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 642-015 AIRFOIL                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.400 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.9991   0.07164   0.06788  -0.0303   1.0000   0.0241
 -14.750  -1.0221   0.06578   0.06180  -0.0324   1.0000   0.0240
 -14.500  -1.0415   0.06072   0.05651  -0.0337   1.0000   0.0240
 -14.250  -1.0576   0.05630   0.05187  -0.0344   1.0000   0.0240
 -14.000  -1.0703   0.05241   0.04776  -0.0345   1.0000   0.0241
 -13.750  -1.0796   0.04895   0.04407  -0.0341   1.0000   0.0241
 -13.500  -1.0853   0.04589   0.04080  -0.0335   1.0000   0.0242
 -13.250  -1.0874   0.04319   0.03788  -0.0326   1.0000   0.0244
 -13.000  -1.0863   0.04077   0.03526  -0.0316   1.0000   0.0246
 -12.750  -1.0826   0.03861   0.03289  -0.0305   1.0000   0.0248
 -12.500  -1.0772   0.03671   0.03079  -0.0294   1.0000   0.0251
 -12.250  -1.0717   0.03512   0.02899  -0.0280   1.0000   0.0254
 -12.000  -1.0651   0.03365   0.02733  -0.0266   1.0000   0.0257
 -11.750  -1.0365   0.03158   0.02526  -0.0270   1.0000   0.0263
 -11.500  -1.0184   0.03034   0.02400  -0.0265   1.0000   0.0268
 -11.250  -1.0014   0.02920   0.02279  -0.0258   1.0000   0.0273
 -11.000  -0.9841   0.02810   0.02164  -0.0251   1.0000   0.0278
 -10.750  -0.9664   0.02703   0.02051  -0.0243   1.0000   0.0284
 -10.500  -0.9489   0.02601   0.01942  -0.0236   1.0000   0.0290
 -10.250  -0.9320   0.02511   0.01841  -0.0227   1.0000   0.0297
 -10.000  -0.9143   0.02392   0.01720  -0.0218   1.0000   0.0305
  -9.750  -0.8987   0.02288   0.01620  -0.0209   1.0000   0.0314
  -9.500  -0.8831   0.02202   0.01534  -0.0199   1.0000   0.0324
  -9.250  -0.8677   0.02119   0.01448  -0.0188   1.0000   0.0334
  -9.000  -0.8520   0.02042   0.01367  -0.0177   1.0000   0.0345
  -8.750  -0.8388   0.01954   0.01276  -0.0163   1.0000   0.0355
  -8.500  -0.8132   0.01846   0.01171  -0.0176   0.9683   0.0374
  -8.250  -0.7871   0.01780   0.01098  -0.0182   0.9450   0.0395
  -8.000  -0.7732   0.01730   0.01037  -0.0161   0.9239   0.0413
  -7.750  -0.7624   0.01665   0.00969  -0.0135   0.9066   0.0436
  -7.500  -0.7461   0.01621   0.00918  -0.0117   0.8930   0.0462
  -7.250  -0.7307   0.01563   0.00853  -0.0098   0.8808   0.0493
  -7.000  -0.7122   0.01517   0.00803  -0.0084   0.8701   0.0533
