    alpha        CL         CD         CDi        CD0        CY         CM         Cl         Cn        L/D   
   -------     ------     ------     ------     ------     ------     ------     ------     ------    ------- 
   -10.000     -0.908      0.083      0.029      0.024      0.000      1.084      0.000      0.000    -10.891
    -9.900     -0.897      0.083      0.028      0.024      0.000      1.074      0.000     -0.000    -10.875
    -9.800     -0.886      0.082      0.027      0.023      0.000      1.064     -0.000      0.000    -10.857
    -9.700     -0.876      0.081      0.027      0.023      0.000      1.053     -0.000     -0.000    -10.838
    -9.600     -0.865      0.080      0.026      0.023      0.000      1.043      0.000      0.000    -10.817
    -9.500     -0.854      0.079      0.025      0.023      0.000      1.033     -0.000     -0.000    -10.794
    -9.400     -0.843      0.078      0.025      0.023      0.000      1.023      0.000     -0.000    -10.768
    -9.300     -0.832      0.077      0.024      0.022      0.000      1.013     -0.000     -0.000    -10.741
    -9.200     -0.821      0.077      0.024      0.022      0.000      1.003      0.000     -0.000    -10.712
    -9.100     -0.810      0.076      0.023      0.022      0.000      0.993     -0.000     -0.000    -10.680
    -9.000     -0.799      0.075      0.023      0.022      0.000      0.983      0.000     -0.000    -10.646
    -8.900     -0.788      0.074      0.022      0.022      0.000      0.972     -0.000      0.000    -10.610
    -8.800     -0.777      0.074      0.021      0.021      0.000      0.962      0.000     -0.000    -10.571
    -8.700     -0.766      0.073      0.021      0.021      0.000      0.952      0.000     -0.000    -10.528
    -8.600     -0.755      0.072      0.020      0.021      0.000      0.941     -0.000      0.000    -10.484
    -8.500     -0.744      0.071      0.020      0.021      0.000      0.931      0.000      0.000    -10.436
    -8.400     -0.733      0.071      0.019      0.021      0.000      0.920     -0.000     -0.000    -10.387
    -8.300     -0.722      0.070      0.019      0.020      0.000      0.910     -0.000     -0.000    -10.334
    -8.200     -0.711      0.069      0.018      0.020      0.000      0.900     -0.000     -0.000    -10.279
    -8.100     -0.700      0.068      0.018      0.020      0.000      0.889     -0.000     -0.000    -10.221
    -8.000     -0.689      0.068      0.017      0.020      0.000      0.878     -0.000     -0.000    -10.160
    -7.900     -0.678      0.067      0.017      0.020      0.000      0.868     -0.000     -0.000    -10.097
    -7.800     -0.666      0.066      0.016      0.020      0.000      0.857      0.000      0.000    -10.030
    -7.700     -0.655      0.066      0.016      0.019      0.000      0.847     -0.000     -0.000     -9.960
    -7.600     -0.644      0.065      0.015      0.019      0.000      0.836     -0.000     -0.000     -9.886
    -7.500     -0.633      0.065      0.015      0.019      0.000      0.825      0.000     -0.000     -9.810
    -7.400     -0.622      0.064      0.014      0.019      0.000      0.814      0.000      0.000     -9.730
    -7.300     -0.612      0.063      0.014      0.019      0.000      0.804     -0.000      0.000     -9.648
    -7.200     -0.601      0.063      0.013      0.019      0.000      0.793     -0.000      0.000     -9.562
    -7.100     -0.590      0.062      0.013      0.019      0.000      0.783     -0.000     -0.000     -9.473
    -7.000     -0.579      0.062      0.012      0.018      0.000      0.773     -0.000     -0.000     -9.382
    -6.900     -0.568      0.061      0.012      0.018      0.000      0.762      0.000      0.000     -9.287
    -6.800     -0.557      0.061      0.012      0.018      0.000      0.752     -0.000     -0.000     -9.190
    -6.700     -0.547      0.060      0.011      0.018      0.000      0.742      0.000      0.000     -9.089
    -6.600     -0.536      0.060      0.011      0.018      0.000      0.732     -0.000     -0.000     -8.985
    -6.500     -0.525      0.059      0.010      0.018      0.000      0.722      0.000     -0.000     -8.878
    -6.400     -0.514      0.059      0.010      0.018      0.000      0.711     -0.000     -0.000     -8.768
    -6.300     -0.503      0.058      0.010      0.018      0.000      0.701      0.000     -0.000     -8.654
    -6.200     -0.492      0.058      0.009      0.018      0.000      0.691      0.000     -0.000     -8.537
    -6.100     -0.481      0.057      0.009      0.017      0.000      0.681      0.000     -0.000     -8.416
    -6.000     -0.470      0.057      0.009      0.017      0.000      0.671      0.000      0.000     -8.292
    -5.900     -0.459      0.056      0.008      0.017      0.000      0.660      0.000      0.000     -8.164
    -5.800     -0.448      0.056      0.008      0.017      0.000      0.650     -0.000      0.000     -8.033
    -5.700     -0.438      0.055      0.008      0.017      0.000      0.640     -0.000     -0.000     -7.898
    -5.600     -0.427      0.055      0.007      0.017      0.000      0.629     -0.000     -0.000     -7.759
    -5.500     -0.416      0.055      0.007      0.017      0.000      0.619     -0.000     -0.000     -7.617
    -5.400     -0.405      0.054      0.007      0.017      0.000      0.609     -0.000     -0.000     -7.472
    -5.300     -0.394      0.054      0.006      0.017      0.000      0.599     -0.000     -0.000     -7.323
    -5.200     -0.383      0.053      0.006      0.017      0.000      0.588     -0.000      0.000     -7.170
    -5.100     -0.372      0.053      0.006      0.017      0.000      0.578     -0.000      0.000     -7.013
    -5.000     -0.361      0.053      0.005      0.016      0.000      0.568     -0.000      0.000     -6.853
    -4.900     -0.349      0.052      0.005      0.016      0.000      0.556      0.000      0.000     -6.687
    -4.800     -0.338      0.052      0.005      0.016      0.000      0.546     -0.000      0.000     -6.519
    -4.700     -0.327      0.052      0.005      0.016      0.000      0.536     -0.000     -0.000     -6.348
    -4.600     -0.316      0.051      0.004      0.016      0.000      0.525      0.000      0.000     -6.173
    -4.500     -0.305      0.051      0.004      0.016      0.000      0.515      0.000      0.000     -5.995
    -4.400     -0.294      0.051      0.004      0.016      0.000      0.505     -0.000      0.000     -5.813
    -4.300     -0.283      0.050      0.004      0.016      0.000      0.494      0.000      0.000     -5.628
    -4.200     -0.272      0.050      0.003      0.016      0.000      0.484     -0.000      0.000     -5.439
    -4.100     -0.261      0.050      0.003      0.016      0.000      0.474     -0.000      0.000     -5.247
    -4.000     -0.250      0.050      0.003      0.016      0.000      0.463      0.000     -0.000     -5.052
    -3.900     -0.239      0.049      0.003      0.016      0.000      0.453     -0.000     -0.000     -4.854
    -3.800     -0.228      0.049      0.003      0.016      0.000      0.443     -0.000     -0.000     -4.653
    -3.700     -0.217      0.049      0.002      0.016      0.000      0.432      0.000      0.000     -4.449
    -3.600     -0.206      0.049      0.002      0.016      0.000      0.422      0.000     -0.000     -4.242
    -3.500     -0.195      0.048      0.002      0.016      0.000      0.412      0.000      0.000     -4.032
    -3.400     -0.184      0.048      0.002      0.015      0.000      0.401     -0.000      0.000     -3.820
    -3.300     -0.173      0.048      0.002      0.015      0.000      0.391     -0.000     -0.000     -3.606
    -3.200     -0.162      0.048      0.002      0.015      0.000      0.381     -0.000     -0.000     -3.389
    -3.100     -0.151      0.048      0.001      0.015      0.000      0.370     -0.000     -0.000     -3.169
    -3.000     -0.140      0.047      0.001      0.015      0.000      0.360     -0.000      0.000     -2.948
    -2.900     -0.129      0.047      0.001      0.015      0.000      0.350      0.000      0.000     -2.725
    -2.800     -0.118      0.047      0.001      0.015      0.000      0.339     -0.000      0.000     -2.500
    -2.700     -0.107      0.047      0.001      0.015      0.000      0.329     -0.000     -0.000     -2.273
    -2.600     -0.096      0.047      0.001      0.015      0.000      0.319     -0.000     -0.000     -2.045
    -2.500     -0.085      0.047      0.001      0.015      0.000      0.308     -0.000      0.000     -1.815
    -2.400     -0.074      0.047      0.001      0.015      0.000      0.298     -0.000     -0.000     -1.584
    -2.300     -0.063      0.047      0.001      0.015      0.000      0.288     -0.000     -0.000     -1.352
    -2.200     -0.052      0.046      0.001      0.015      0.000      0.277      0.000     -0.000     -1.119
    -2.100     -0.041      0.046      0.000      0.015      0.000      0.267     -0.000     -0.000     -0.885
    -2.000     -0.030      0.046      0.000      0.015      0.000      0.257     -0.000     -0.000     -0.650
    -1.900     -0.019      0.046      0.000      0.015      0.000      0.246     -0.000     -0.000     -0.415
    -1.800     -0.008      0.046      0.000      0.015      0.000      0.236      0.000     -0.000     -0.179
    -1.700      0.003      0.046      0.000      0.015      0.000      0.226     -0.000     -0.000      0.057
    -1.600      0.013      0.046      0.000      0.015      0.000      0.215      0.000     -0.000      0.293
    -1.500      0.024      0.046      0.000      0.015      0.000      0.205     -0.000      0.000      0.529
    -1.400      0.035      0.046      0.000      0.015      0.000      0.195     -0.000     -0.000      0.765
    -1.300      0.046      0.046      0.000      0.015      0.000      0.184     -0.000     -0.000      1.001
    -1.200      0.057      0.046      0.000      0.015      0.000      0.174      0.000      0.000      1.237
    -1.100      0.068      0.046      0.000      0.015      0.000      0.164     -0.000      0.000      1.472
    -1.000      0.078      0.046      0.000      0.015      0.000      0.153      0.000     -0.000      1.706
    -0.900      0.089      0.046      0.000      0.015      0.000      0.143     -0.000     -0.000      1.941
    -0.800      0.100      0.046      0.000      0.015      0.000      0.133     -0.000      0.000      2.174
    -0.700      0.111      0.046      0.000      0.015      0.000      0.122      0.000      0.000      2.407
    -0.600      0.122      0.046      0.001      0.015      0.000      0.112     -0.000     -0.000      2.638
    -0.500      0.132      0.046      0.001      0.015      0.000      0.102      0.000      0.000      2.869
    -0.400      0.143      0.046      0.001      0.015      0.000      0.091     -0.000      0.000      3.098
    -0.300      0.154      0.046      0.001      0.015      0.000      0.081      0.000     -0.000      3.326
    -0.200      0.165      0.046      0.001      0.015      0.000      0.071      0.000     -0.000      3.552
    -0.100      0.175      0.046      0.001      0.015      0.000      0.060     -0.000      0.000      3.777
     0.000      0.186      0.047      0.001      0.015      0.000      0.050      0.000     -0.000      4.001
     0.100      0.197      0.047      0.001      0.015      0.000      0.040      0.000      0.000      4.222
     0.200      0.208      0.047      0.001      0.015      0.000      0.029     -0.000     -0.000      4.442
     0.300      0.218      0.047      0.001      0.015      0.000      0.019     -0.000     -0.000      4.661
     0.400      0.229      0.047      0.002      0.015      0.000      0.009     -0.000      0.000      4.877
     0.500      0.240      0.047      0.002      0.015      0.000     -0.001      0.000     -0.000      5.090
     0.600      0.250      0.047      0.002      0.015      0.000     -0.012     -0.000      0.000      5.302
     0.700      0.261      0.047      0.002      0.015      0.000     -0.022      0.000     -0.000      5.512
     0.800      0.272      0.048      0.002      0.014      0.000     -0.032     -0.000      0.000      5.719
     0.900      0.283      0.048      0.002      0.014      0.000     -0.043     -0.000     -0.000      5.925
     1.000      0.293      0.048      0.003      0.014      0.000     -0.053     -0.000     -0.000      6.128
     1.100      0.304      0.048      0.003      0.014      0.000     -0.063     -0.000      0.000      6.328
     1.200      0.315      0.048      0.003      0.014      0.000     -0.073     -0.000      0.000      6.527
     1.300      0.325      0.048      0.003      0.014      0.000     -0.084      0.000     -0.000      6.723
     1.400      0.336      0.049      0.003      0.014      0.000     -0.094      0.000     -0.000      6.917
     1.500      0.346      0.049      0.004      0.014      0.000     -0.104      0.000     -0.000      7.107
     1.600      0.357      0.049      0.004      0.014      0.000     -0.114     -0.000      0.000      7.294
     1.700      0.368      0.049      0.004      0.014      0.000     -0.124      0.000      0.000      7.479
     1.800      0.378      0.049      0.004      0.014      0.000     -0.135      0.000     -0.000      7.660
     1.900      0.389      0.050      0.005      0.014      0.000     -0.144     -0.000     -0.000      7.837
     2.000      0.399      0.050      0.005      0.014      0.000     -0.154      0.000      0.000      8.013
     2.100      0.410      0.050      0.005      0.014      0.000     -0.165      0.000     -0.000      8.186
     2.200      0.420      0.050      0.005      0.014      0.000     -0.175      0.000     -0.000      8.356
     2.300      0.431      0.051      0.006      0.014      0.000     -0.185      0.000      0.000      8.524
     2.400      0.441      0.051      0.006      0.014      0.000     -0.196      0.000     -0.000      8.688
     2.500      0.452      0.051      0.006      0.014      0.000     -0.206      0.000      0.000      8.849
     2.600      0.462      0.051      0.006      0.014      0.000     -0.217     -0.000      0.000      9.006
     2.700      0.473      0.052      0.007      0.014      0.000     -0.227     -0.000      0.000      9.160
     2.800      0.484      0.052      0.007      0.014      0.000     -0.238      0.000     -0.000      9.311
     2.900      0.494      0.052      0.007      0.014      0.000     -0.248      0.000     -0.000      9.458
     3.000      0.505      0.053      0.008      0.014      0.000     -0.258      0.000      0.000      9.602
     3.100      0.516      0.053      0.008      0.014      0.000     -0.269     -0.000      0.000      9.742
     3.200      0.526      0.053      0.008      0.014      0.000     -0.279     -0.000     -0.000      9.879
     3.300      0.537      0.054      0.009      0.014      0.000     -0.290     -0.000     -0.000     10.012
     3.400      0.547      0.054      0.009      0.014      0.000     -0.300      0.000     -0.000     10.142
     3.500      0.558      0.054      0.010      0.014      0.000     -0.311     -0.000      0.000     10.269
     3.600      0.569      0.055      0.010      0.014      0.000     -0.321      0.000     -0.000     10.392
     3.700      0.580      0.055      0.010      0.014      0.000     -0.332      0.000     -0.000     10.512
     3.800      0.590      0.056      0.011      0.014      0.000     -0.342      0.000      0.000     10.628
     3.900      0.601      0.056      0.011      0.014      0.000     -0.353     -0.000      0.000     10.742
     4.000      0.612      0.056      0.012      0.014      0.000     -0.364     -0.000     -0.000     10.852
     4.100      0.623      0.057      0.012      0.014      0.000     -0.375     -0.000      0.000     10.958
     4.200      0.634      0.057      0.012      0.014      0.000     -0.386      0.000     -0.000     11.060
     4.300      0.645      0.058      0.013      0.014      0.000     -0.397      0.000      0.000     11.159
     4.400      0.656      0.058      0.013      0.014      0.000     -0.407      0.000     -0.000     11.254
     4.500      0.667      0.059      0.014      0.014      0.000     -0.417      0.000     -0.000     11.345
     4.600      0.677      0.059      0.014      0.014      0.000     -0.427      0.000      0.000     11.433
     4.700      0.688      0.060      0.015      0.014      0.000     -0.437      0.000     -0.000     11.517
     4.800      0.699      0.060      0.015      0.014      0.000     -0.447      0.000     -0.000     11.598
     4.900      0.709      0.061      0.016      0.014      0.000     -0.457      0.000     -0.000     11.675
     5.000      0.720      0.061      0.016      0.014      0.000     -0.467     -0.000      0.000     11.750
     5.100      0.731      0.062      0.017      0.014      0.000     -0.477      0.000     -0.000     11.821
     5.200      0.741      0.062      0.017      0.015      0.000     -0.487      0.000      0.000     11.890
     5.300      0.752      0.063      0.018      0.015      0.000     -0.498      0.000     -0.000     11.955
     5.400      0.763      0.063      0.018      0.015      0.000     -0.508      0.000     -0.000     12.018
     5.500      0.774      0.064      0.019      0.015      0.000     -0.519      0.000      0.000     12.077
     5.600      0.785      0.065      0.019      0.015      0.000     -0.530      0.000      0.000     12.134
     5.700      0.796      0.065      0.020      0.015      0.000     -0.541     -0.000      0.000     12.187
     5.800      0.807      0.066      0.020      0.015      0.000     -0.552      0.000     -0.000     12.238
     5.900      0.818      0.067      0.021      0.015      0.000     -0.563      0.000      0.000     12.286
     6.000      0.829      0.067      0.021      0.015      0.000     -0.574      0.000      0.000     12.331
     6.100      0.840      0.068      0.022      0.015      0.000     -0.586     -0.000      0.000     12.373
     6.200      0.851      0.069      0.022      0.015      0.000     -0.597      0.000      0.000     12.412
     6.300      0.862      0.069      0.023      0.015      0.000     -0.608      0.000      0.000     12.449
     6.400      0.873      0.070      0.024      0.016      0.000     -0.618      0.000     -0.000     12.482
     6.500      0.884      0.071      0.024      0.016      0.000     -0.629     -0.000      0.000     12.514
     6.600      0.895      0.071      0.025      0.016      0.000     -0.640      0.000      0.000     12.542
     6.700      0.906      0.072      0.025      0.016      0.000     -0.651      0.000     -0.000     12.569
     6.800      0.918      0.073      0.026      0.016      0.000     -0.661     -0.000      0.000     12.593
     6.900      0.929      0.074      0.027      0.016      0.000     -0.672      0.000     -0.000     12.615
     7.000      0.940      0.074      0.027      0.016      0.000     -0.682      0.000     -0.000     12.635
     7.100      0.951      0.075      0.028      0.016      0.000     -0.693      0.000      0.000     12.652
     7.200      0.962      0.076      0.029      0.016      0.000     -0.703      0.000     -0.000     12.667
     7.300      0.973      0.077      0.029      0.017      0.000     -0.714      0.000     -0.000     12.680
     7.400      0.984      0.078      0.030      0.017      0.000     -0.725     -0.000      0.000     12.691
     7.500      0.996      0.078      0.031      0.017      0.000     -0.735     -0.000     -0.000     12.699
     7.600      1.007      0.079      0.031      0.017      0.000     -0.746     -0.000     -0.000     12.706
     7.700      1.018      0.080      0.032      0.017      0.000     -0.756     -0.000      0.000     12.711
     7.800      1.029      0.081      0.033      0.017      0.000     -0.766      0.000     -0.000     12.714
     7.900      1.040      0.082      0.033      0.017      0.000     -0.777      0.000     -0.000     12.716
     8.000      1.051      0.083      0.034      0.018      0.000     -0.787      0.000      0.000     12.716
     8.100      1.062      0.084      0.035      0.018      0.000     -0.798     -0.000      0.000     12.714
     8.200      1.073      0.084      0.036      0.018      0.000     -0.808      0.000      0.000     12.710
     8.300      1.085      0.085      0.036      0.018      0.000     -0.819     -0.000      0.000     12.706
     8.400      1.096      0.086      0.037      0.018      0.000     -0.830      0.000      0.000     12.699
     8.500      1.107      0.087      0.038      0.018      0.000     -0.840      0.000     -0.000     12.691
     8.600      1.118      0.088      0.039      0.019      0.000     -0.851     -0.000      0.000     12.682
     8.700      1.129      0.089      0.039      0.019      0.000     -0.861      0.000      0.000     12.671
     8.800      1.140      0.090      0.040      0.019      0.000     -0.872     -0.000     -0.000     12.659
     8.900      1.151      0.091      0.041      0.019      0.000     -0.882     -0.000      0.000     12.645
     9.000      1.162      0.092      0.042      0.019      0.000     -0.893     -0.000      0.000     12.630
     9.100      1.173      0.093      0.043      0.020      0.000     -0.903      0.000     -0.000     12.614
     9.200      1.184      0.094      0.043      0.020      0.000     -0.914      0.000     -0.000     12.597
     9.300      1.195      0.095      0.044      0.020      0.000     -0.924     -0.000     -0.000     12.579
     9.400      1.206      0.096      0.045      0.020      0.000     -0.935      0.000      0.000     12.560
     9.500      1.217      0.097      0.046      0.020      0.000     -0.946     -0.000      0.000     12.540
     9.600      1.228      0.098      0.047      0.021      0.000     -0.956     -0.000      0.000     12.519
     9.700      1.239      0.099      0.047      0.021      0.000     -0.967      0.000     -0.000     12.496
     9.800      1.250      0.100      0.048      0.021      0.000     -0.977      0.000      0.000     12.473
     9.900      1.261      0.101      0.049      0.021      0.000     -0.988     -0.000      0.000     12.449
    10.000      1.272      0.102      0.050      0.022      0.000     -0.999      0.000      0.000     12.425
    10.100      1.283      0.104      0.051      0.022      0.000     -1.009      0.000     -0.000     12.399
    10.200      1.295      0.105      0.052      0.022      0.000     -1.020      0.000     -0.000     12.373
    10.300      1.306      0.106      0.053      0.022      0.000     -1.031     -0.000      0.000     12.345
    10.400      1.317      0.107      0.053      0.023      0.000     -1.042      0.000      0.000     12.317
    10.500      1.328      0.108      0.054      0.023      0.000     -1.053      0.000      0.000     12.289
    10.600      1.339      0.109      0.055      0.023      0.000     -1.064      0.000      0.000     12.261
    10.700      1.351      0.110      0.056      0.023      0.000     -1.075     -0.000     -0.000     12.231
    10.800      1.362      0.112      0.057      0.024      0.000     -1.087      0.000     -0.000     12.202
    10.900      1.374      0.113      0.058      0.024      0.000     -1.099      0.000     -0.000     12.171
    11.000      1.386      0.114      0.059      0.024      0.000     -1.112     -0.000      0.000     12.140
    11.100      1.397      0.115      0.060      0.025      0.000     -1.124     -0.000      0.000     12.109
    11.200      1.410      0.117      0.061      0.025      0.000     -1.138     -0.000      0.000     12.077
