Smoothed ATR airfoil coordinates obtained  using
    1.000000       0.000000    
   0.9953502      0.7130462E-03
   0.9896505      0.1600074E-02
   0.9835593      0.2563854E-02
   0.9770548      0.3611057E-02
   0.9701334      0.4745924E-02
   0.9628202      0.5968145E-02
   0.9551716      0.7273111E-02
   0.9472533      0.8655003E-02
   0.9391177      0.1010989E-01
   0.9307895      0.1163637E-01
   0.9222813      0.1323021E-01
   0.9136106      0.1488488E-01
   0.9048008      0.1659209E-01
   0.8958771      0.1834310E-01
   0.8868636      0.2012902E-01
   0.8777810      0.2194105E-01
   0.8686469      0.2376956E-01
   0.8594793      0.2560423E-01
   0.8502962      0.2743510E-01
   0.8411142      0.2925519E-01
   0.8319461      0.3105910E-01
   0.8227998      0.3284233E-01
   0.8136778      0.3460049E-01
   0.8045748      0.3633018E-01
   0.7954791      0.3803035E-01
   0.7863788      0.3970370E-01
   0.7772664      0.4135283E-01
   0.7681390      0.4297943E-01
   0.7589958      0.4458480E-01
   0.7498351      0.4617040E-01
   0.7406542      0.4773805E-01
   0.7314517      0.4928996E-01
   0.7222295      0.5082788E-01
   0.7129927      0.5235276E-01
   0.7037470      0.5386436E-01
   0.6944979      0.5536232E-01
   0.6852506      0.5684603E-01
   0.6760105      0.5831372E-01
   0.6667856      0.5976318E-01
   0.6575834      0.6119045E-01
   0.6484014      0.6259042E-01
   0.6392245      0.6396127E-01
   0.6300363      0.6530665E-01
   0.6208262      0.6663029E-01
   0.6115897      0.6793513E-01
   0.6023256      0.6922410E-01
   0.5930336      0.7050005E-01
   0.5837151      0.7176582E-01
   0.5743738      0.7302407E-01
   0.5650173      0.7427698E-01
   0.5556601      0.7552529E-01
   0.5463255      0.7676678E-01
   0.5370322      0.7799362E-01
   0.5277833      0.7919910E-01
   0.5185763      0.8037996E-01
   0.5094156      0.8153284E-01
   0.5003077      0.8265197E-01
   0.4912496      0.8373184E-01
   0.4822280      0.8476863E-01
   0.4732248      0.8576240E-01
   0.4642245      0.8671503E-01
   0.4552152      0.8762779E-01
   0.4461888      0.8850228E-01
   0.4371383      0.8934128E-01
   0.4280561      0.9014764E-01
   0.4189356      0.9092489E-01
   0.4097747      0.9167740E-01
   0.4005779      0.9240918E-01
   0.3913549      0.9312232E-01
   0.3821154      0.9381735E-01
   0.3728669      0.9449476E-01
   0.3636167      0.9515395E-01
   0.3543732      0.9579390E-01
   0.3451463      0.9641353E-01
   0.3359474      0.9701177E-01
   0.3267889      0.9758642E-01
   0.3176826      0.9813309E-01
   0.3086394      0.9864738E-01
   0.2996689      0.9912530E-01
   0.2907794      0.9956319E-01
   0.2819782      0.9995631E-01
   0.2732726      0.1002989    
   0.2646698      0.1005856    
   0.2561767      0.1008119    
   0.2478001      0.1009734    
   0.2395460      0.1010646    
   0.2314186      0.1010794    
   0.2234198      0.1010130    
   0.2155498      0.1008608    
   0.2078071      0.1006192    
   0.2001901      0.1002844    
   0.1926972      0.9985270E-01
   0.1853269      0.9932124E-01
   0.1780787      0.9868745E-01
   0.1709516      0.9794916E-01
   0.1639442      0.9710449E-01
   0.1570545      0.9615181E-01
   0.1502805      0.9508999E-01
   0.1436219      0.9391902E-01
   0.1370803      0.9263959E-01
   0.1306583      0.9125284E-01
   0.1243593      0.8976070E-01
   0.1181877      0.8816600E-01
   0.1121472      0.8647206E-01
