  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 0009                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -1.0870   0.08722   0.08516   0.0062   1.0000   0.0081
 -14.800  -1.1528   0.06981   0.06745  -0.0049   1.0000   0.0078
 -14.600  -1.1788   0.06085   0.05830  -0.0115   1.0000   0.0077
 -14.400  -1.1962   0.05401   0.05129  -0.0167   1.0000   0.0077
 -14.200  -1.2090   0.04859   0.04573  -0.0207   1.0000   0.0077
 -14.000  -1.2186   0.04435   0.04135  -0.0234   1.0000   0.0078
 -13.800  -1.2254   0.04107   0.03794  -0.0249   1.0000   0.0078
 -13.600  -1.2294   0.03853   0.03530  -0.0254   1.0000   0.0079
 -13.400  -1.2311   0.03656   0.03322  -0.0251   1.0000   0.0080
 -13.200  -1.2308   0.03497   0.03155  -0.0242   1.0000   0.0081
 -13.000  -1.2289   0.03366   0.03015  -0.0230   1.0000   0.0082
 -12.800  -1.2258   0.03252   0.02892  -0.0214   1.0000   0.0083
 -12.600  -1.2208   0.03147   0.02779  -0.0198   1.0000   0.0084
 -12.400  -1.2126   0.03039   0.02661  -0.0187   1.0000   0.0086
 -12.200  -1.2035   0.02929   0.02540  -0.0177   1.0000   0.0087
 -12.000  -1.1938   0.02816   0.02416  -0.0166   1.0000   0.0089
 -11.800  -1.1833   0.02702   0.02289  -0.0155   1.0000   0.0090
 -11.600  -1.1717   0.02593   0.02168  -0.0146   1.0000   0.0092
 -11.400  -1.1589   0.02492   0.02055  -0.0137   1.0000   0.0093
 -11.200  -1.1451   0.02399   0.01951  -0.0128   1.0000   0.0095
 -11.000  -1.1302   0.02317   0.01858  -0.0121   1.0000   0.0096
 -10.800  -1.1142   0.02246   0.01778  -0.0114   1.0000   0.0098
 -10.600  -1.0973   0.02188   0.01710  -0.0108   1.0000   0.0099
 -10.400  -1.0901   0.01970   0.01471  -0.0092   1.0000   0.0103
 -10.200  -1.0746   0.01881   0.01375  -0.0084   1.0000   0.0106
 -10.000  -1.0571   0.01823   0.01312  -0.0079   1.0000   0.0109
  -9.800  -1.0389   0.01773   0.01257  -0.0074   1.0000   0.0112
  -9.600  -1.0206   0.01724   0.01204  -0.0069   1.0000   0.0115
  -9.400  -1.0021   0.01674   0.01148  -0.0065   1.0000   0.0119
  -9.200  -0.9834   0.01626   0.01094  -0.0060   1.0000   0.0123
  -9.000  -0.9642   0.01586   0.01049  -0.0056   1.0000   0.0126
  -8.800  -0.9445   0.01555   0.01013  -0.0052   1.0000   0.0129
  -8.600  -0.9276   0.01476   0.00925  -0.0045   1.0000   0.0135
  -8.400  -0.9102   0.01405   0.00850  -0.0038   1.0000   0.0141
  -8.200  -0.8910   0.01366   0.00807  -0.0033   1.0000   0.0147
  -8.000  -0.8714   0.01331   0.00770  -0.0029   1.0000   0.0153
  -7.800  -0.8518   0.01298   0.00734  -0.0025   1.0000   0.0159
  -7.600  -0.8321   0.01267   0.00699  -0.0021   1.0000   0.0165
  -7.400  -0.8121   0.01242   0.00671  -0.0017   1.0000   0.0170
  -7.200  -0.7944   0.01179   0.00602  -0.0009   1.0000   0.0181
  -7.000  -0.7752   0.01146   0.00568  -0.0003   1.0000   0.0193
  -6.800  -0.7555   0.01122   0.00544   0.0001   1.0000   0.0204
  -6.600  -0.7359   0.01100   0.00520   0.0006   1.0000   0.0215
  -6.400  -0.7165   0.01076   0.00492   0.0012   1.0000   0.0223
  -6.200  -0.6982   0.01033   0.00448   0.0020   1.0000   0.0247
  -6.000  -0.6788   0.01010   0.00426   0.0025   1.0000   0.0264
  -5.800  -0.6593   0.00993   0.00406   0.0031   1.0000   0.0280
