  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 23015                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -1.2262   0.02521   0.02000  -0.0569   1.0000   0.0236
 -14.750  -1.2184   0.02426   0.01899  -0.0549   1.0000   0.0242
 -14.500  -1.2114   0.02334   0.01805  -0.0527   1.0000   0.0247
 -14.250  -1.2012   0.02265   0.01734  -0.0506   1.0000   0.0253
 -14.000  -1.1905   0.02203   0.01668  -0.0484   1.0000   0.0259
 -13.750  -1.1795   0.02146   0.01605  -0.0461   1.0000   0.0265
 -13.500  -1.1718   0.02079   0.01533  -0.0433   1.0000   0.0271
 -13.250  -1.1633   0.02021   0.01475  -0.0405   1.0000   0.0276
 -13.000  -1.1528   0.01978   0.01430  -0.0377   1.0000   0.0282
 -12.750  -1.1424   0.01939   0.01387  -0.0349   1.0000   0.0289
 -12.500  -1.1319   0.01904   0.01347  -0.0319   1.0000   0.0295
 -12.250  -1.1258   0.01861   0.01300  -0.0281   1.0000   0.0301
 -12.000  -1.1205   0.01826   0.01265  -0.0241   1.0000   0.0307
 -11.750  -1.1144   0.01803   0.01241  -0.0200   1.0000   0.0312
 -11.500  -1.1103   0.01784   0.01219  -0.0155   1.0000   0.0318
 -11.250  -1.1033   0.01761   0.01193  -0.0115   1.0000   0.0324
 -11.000  -1.0926   0.01740   0.01166  -0.0083   1.0000   0.0330
 -10.750  -1.0707   0.01690   0.01118  -0.0075   0.9990   0.0339
 -10.500  -1.0380   0.01663   0.01091  -0.0087   0.9974   0.0348
 -10.250  -1.0048   0.01637   0.01063  -0.0099   0.9957   0.0358
 -10.000  -0.9708   0.01611   0.01033  -0.0113   0.9942   0.0367
  -9.750  -0.9393   0.01561   0.00985  -0.0124   0.9924   0.0377
  -9.500  -0.9081   0.01531   0.00956  -0.0131   0.9898   0.0387
  -9.250  -0.8743   0.01502   0.00926  -0.0144   0.9876   0.0398
  -9.000  -0.8392   0.01473   0.00892  -0.0160   0.9860   0.0407
  -8.750  -0.8057   0.01420   0.00843  -0.0174   0.9846   0.0418
  -8.000  -0.7087   0.01333   0.00752  -0.0201   0.9763   0.0449
  -7.750  -0.6814   0.01276   0.00698  -0.0202   0.9723   0.0461
  -7.500  -0.6507   0.01244   0.00667  -0.0207   0.9685   0.0472
  -7.250  -0.6166   0.01212   0.00635  -0.0220   0.9662   0.0485
  -7.000  -0.5876   0.01185   0.00606  -0.0221   0.9611   0.0495
  -6.750  -0.5587   0.01135   0.00557  -0.0223   0.9561   0.0508
  -6.500  -0.5284   0.01101   0.00524  -0.0228   0.9498   0.0520
  -6.000  -0.4521   0.01045   0.00466  -0.0270   0.9368   0.0548
  -5.750  -0.4106   0.01000   0.00421  -0.0300   0.9286   0.0568
  -5.500  -0.3707   0.00972   0.00392  -0.0325   0.9167   0.0588
  -5.250  -0.3346   0.00953   0.00367  -0.0341   0.9020   0.0606
  -5.000  -0.3068   0.00930   0.00340  -0.0340   0.8842   0.0628
  -4.750  -0.2813   0.00916   0.00321  -0.0333   0.8642   0.0650
  -4.500  -0.2572   0.00909   0.00305  -0.0323   0.8421   0.0672
  -4.250  -0.2364   0.00897   0.00287  -0.0306   0.8166   0.0707
  -4.000  -0.2153   0.00891   0.00272  -0.0289   0.7908   0.0742
  -3.750  -0.1952   0.00882   0.00257  -0.0270   0.7661   0.0812
  -3.500  -0.1758   0.00863   0.00242  -0.0251   0.7442   0.1025
  -3.250  -0.1628   0.00807   0.00216  -0.0221   0.7252   0.1917
  -3.000  -0.1514   0.00744   0.00193  -0.0188   0.7073   0.3113
  -2.750  -0.1332   0.00717   0.00183  -0.0167   0.6887   0.3701
  -2.500  -0.1136   0.00698   0.00175  -0.0148   0.6701   0.4162
  -2.250  -0.0932   0.00687   0.00170  -0.0131   0.6512   0.4536
  -2.000  -0.0725   0.00678   0.00165  -0.0114   0.6316   0.4851
  -1.750  -0.0512   0.00671   0.00161  -0.0099   0.6116   0.5151
  -1.500  -0.0302   0.00665   0.00159  -0.0082   0.5922   0.5453
  -1.250  -0.0099   0.00660   0.00157  -0.0064   0.5727   0.5785
  -1.000   0.0107   0.00655   0.00156  -0.0047   0.5527   0.6105
  -0.750   0.0315   0.00652   0.00155  -0.0030   0.5332   0.6393
  -0.500   0.0530   0.00652   0.00156  -0.0014   0.5151   0.6640
  -0.250   0.0748   0.00652   0.00157   0.0001   0.4976   0.6861
   0.000   0.0964   0.00653   0.00158   0.0016   0.4795   0.7098
   0.250   0.1180   0.00655   0.00161   0.0031   0.4610   0.7325
   0.500   0.1397   0.00657   0.00164   0.0046   0.4432   0.7546
   0.750   0.1614   0.00661   0.00167   0.0062   0.4264   0.7764
   1.000   0.1832   0.00665   0.00172   0.0077   0.4099   0.7990
   1.250   0.2056   0.00670   0.00178   0.0090   0.3931   0.8198
   1.500   0.2288   0.00677   0.00183   0.0102   0.3759   0.8374
   1.750   0.2525   0.00686   0.00190   0.0113   0.3591   0.8538
   2.000   0.2772   0.00695   0.00197   0.0121   0.3433   0.8696
   2.250   0.3034   0.00706   0.00205   0.0126   0.3277   0.8848
   2.500   0.3322   0.00720   0.00216   0.0124   0.3118   0.8992
   2.750   0.3653   0.00737   0.00229   0.0114   0.2953   0.9120
   3.000   0.4025   0.00757   0.00244   0.0093   0.2794   0.9223
   3.250   0.4395   0.00778   0.00260   0.0074   0.2652   0.9313
   3.500   0.4789   0.00802   0.00277   0.0048   0.2526   0.9376
