  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 23017 Airfoil                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     1.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -1.2922   0.02726   0.02239  -0.0531   1.0000   0.0261
 -14.900  -1.2873   0.02675   0.02186  -0.0528   1.0000   0.0262
 -14.800  -1.2822   0.02627   0.02135  -0.0524   1.0000   0.0263
 -14.700  -1.2804   0.02555   0.02061  -0.0518   1.0000   0.0265
 -14.600  -1.2780   0.02490   0.01994  -0.0513   1.0000   0.0266
 -14.500  -1.2746   0.02434   0.01935  -0.0507   1.0000   0.0268
 -14.400  -1.2705   0.02383   0.01883  -0.0502   1.0000   0.0269
 -14.300  -1.2660   0.02337   0.01835  -0.0496   1.0000   0.0271
 -14.200  -1.2611   0.02294   0.01790  -0.0490   1.0000   0.0272
 -14.100  -1.2559   0.02253   0.01748  -0.0485   1.0000   0.0274
 -14.000  -1.2504   0.02215   0.01709  -0.0479   1.0000   0.0275
 -13.900  -1.2448   0.02179   0.01671  -0.0473   1.0000   0.0277
 -13.800  -1.2392   0.02144   0.01634  -0.0467   1.0000   0.0279
 -13.700  -1.2334   0.02110   0.01599  -0.0461   1.0000   0.0280
 -13.600  -1.2275   0.02078   0.01565  -0.0454   1.0000   0.0282
 -13.500  -1.2216   0.02047   0.01532  -0.0448   1.0000   0.0284
 -13.400  -1.2156   0.02017   0.01500  -0.0441   1.0000   0.0286
 -13.300  -1.2094   0.01989   0.01470  -0.0435   1.0000   0.0287
 -13.200  -1.2031   0.01962   0.01442  -0.0428   1.0000   0.0289
 -13.100  -1.1966   0.01938   0.01415  -0.0421   1.0000   0.0291
 -13.000  -1.1898   0.01915   0.01391  -0.0414   1.0000   0.0292
 -12.900  -1.1861   0.01878   0.01352  -0.0404   1.0000   0.0295
 -12.800  -1.1819   0.01846   0.01319  -0.0394   1.0000   0.0297
 -12.700  -1.1770   0.01818   0.01291  -0.0384   1.0000   0.0299
 -12.600  -1.1719   0.01794   0.01266  -0.0375   1.0000   0.0301
 -12.500  -1.1668   0.01772   0.01243  -0.0365   1.0000   0.0303
 -12.400  -1.1620   0.01751   0.01222  -0.0353   1.0000   0.0305
 -12.300  -1.1577   0.01733   0.01203  -0.0341   1.0000   0.0307
 -12.200  -1.1543   0.01716   0.01185  -0.0327   1.0000   0.0309
 -12.100  -1.1520   0.01702   0.01169  -0.0310   1.0000   0.0310
 -12.000  -1.1509   0.01688   0.01154  -0.0291   1.0000   0.0312
 -11.900  -1.1517   0.01678   0.01142  -0.0268   1.0000   0.0313
 -11.800  -1.1554   0.01670   0.01133  -0.0239   1.0000   0.0315
 -11.700  -1.1606   0.01665   0.01126  -0.0208   1.0000   0.0316
 -11.600  -1.1484   0.01645   0.01105  -0.0210   0.9994   0.0318
 -11.500  -1.1359   0.01627   0.01086  -0.0212   0.9988   0.0321
 -11.400  -1.1230   0.01609   0.01067  -0.0215   0.9981   0.0323
 -11.300  -1.1113   0.01581   0.01037  -0.0216   0.9973   0.0327
 -11.200  -1.0991   0.01555   0.01012  -0.0219   0.9965   0.0330
 -11.100  -1.0864   0.01534   0.00990  -0.0222   0.9957   0.0334
 -11.000  -1.0734   0.01514   0.00971  -0.0225   0.9951   0.0337
 -10.900  -1.0602   0.01496   0.00953  -0.0229   0.9944   0.0341
 -10.800  -1.0468   0.01479   0.00936  -0.0233   0.9939   0.0344
 -10.700  -1.0333   0.01463   0.00919  -0.0237   0.9934   0.0348
 -10.600  -1.0197   0.01448   0.00903  -0.0241   0.9929   0.0352
 -10.500  -1.0058   0.01433   0.00887  -0.0245   0.9925   0.0355
 -10.400  -0.9936   0.01413   0.00866  -0.0247   0.9916   0.0359
 -10.300  -0.9820   0.01392   0.00845  -0.0248   0.9903   0.0364
 -10.200  -0.9695   0.01374   0.00827  -0.0250   0.9892   0.0368
 -10.100  -0.9567   0.01357   0.00811  -0.0253   0.9881   0.0372
 -10.000  -0.9437   0.01342   0.00796  -0.0255   0.9870   0.0376
  -9.900  -0.9307   0.01327   0.00781  -0.0258   0.9858   0.0381
  -9.800  -0.9176   0.01313   0.00766  -0.0261   0.9847   0.0385
  -9.700  -0.9046   0.01300   0.00752  -0.0264   0.9836   0.0389
  -9.600  -0.8916   0.01287   0.00738  -0.0266   0.9824   0.0393
  -9.500  -0.8825   0.01269   0.00721  -0.0261   0.9792   0.0398
  -9.400  -0.8720   0.01254   0.00706  -0.0258   0.9766   0.0404
  -9.300  -0.8609   0.01241   0.00693  -0.0257   0.9743   0.0409
  -9.200  -0.8493   0.01228   0.00680  -0.0257   0.9724   0.0414
  -9.100  -0.8397   0.01218   0.00669  -0.0252   0.9690   0.0419
  -9.000  -0.8298   0.01208   0.00659  -0.0247   0.9656   0.0424
  -8.900  -0.8194   0.01198   0.00647  -0.0244   0.9626   0.0428
  -8.800  -0.8094   0.01186   0.00634  -0.0240   0.9597   0.0433
  -8.700  -0.8004   0.01172   0.00621  -0.0234   0.9556   0.0439
  -8.600  -0.7908   0.01161   0.00609  -0.0230   0.9519   0.0445
  -8.500  -0.7810   0.01150   0.00598  -0.0225   0.9486   0.0451
  -8.400  -0.7710   0.01141   0.00588  -0.0221   0.9446   0.0457
  -8.300  -0.7609   0.01132   0.00578  -0.0217   0.9405   0.0463
  -8.200  -0.7508   0.01124   0.00569  -0.0213   0.9367   0.0469
  -8.100  -0.7408   0.01114   0.00557  -0.0209   0.9328   0.0475
  -8.000  -0.7310   0.01102   0.00546  -0.0205   0.9283   0.0483
  -7.900  -0.7210   0.01093   0.00535  -0.0201   0.9239   0.0490
  -7.800  -0.7107   0.01084   0.00526  -0.0197   0.9198   0.0498
  -7.700  -0.7002   0.01076   0.00517  -0.0194   0.9151   0.0505
  -7.600  -0.6897   0.01069   0.00508  -0.0191   0.9104   0.0512
  -7.500  -0.6795   0.01060   0.00497  -0.0187   0.9059   0.0520
  -7.400  -0.6691   0.01050   0.00487  -0.0184   0.9010   0.0529
  -7.300  -0.6588   0.01041   0.00478  -0.0181   0.8958   0.0538
  -7.200  -0.6483   0.01034   0.00469  -0.0178   0.8910   0.0548
  -7.100  -0.6374   0.01027   0.00461  -0.0176   0.8858   0.0557
  -7.000  -0.6268   0.01020   0.00452  -0.0173   0.8802   0.0567
  -6.900  -0.6165   0.01011   0.00443  -0.0170   0.8751   0.0578
  -6.800  -0.6057   0.01003   0.00435  -0.0167   0.8695   0.0590
  -6.700  -0.5951   0.00997   0.00427  -0.0164   0.8637   0.0601
  -6.600  -0.5841   0.00992   0.00419  -0.0162   0.8583   0.0612
  -6.500  -0.5735   0.00984   0.00410  -0.0160   0.8522   0.0625
  -6.400  -0.5630   0.00977   0.00402  -0.0157   0.8462   0.0639
  -6.300  -0.5520   0.00970   0.00395  -0.0155   0.8404   0.0654
  -6.200  -0.5411   0.00965   0.00388  -0.0153   0.8339   0.0667
  -6.100  -0.5305   0.00958   0.00380  -0.0150   0.8279   0.0685
  -6.000  -0.5197   0.00951   0.00372  -0.0148   0.8214   0.0704
  -5.900  -0.5089   0.00946   0.00365  -0.0145   0.8149   0.0722
  -5.800  -0.4979   0.00939   0.00358  -0.0143   0.8085   0.0741
  -5.700  -0.4872   0.00933   0.00351  -0.0141   0.8016   0.0764
  -5.600  -0.4763   0.00928   0.00344  -0.0139   0.7952   0.0786
  -5.500  -0.4654   0.00922   0.00337  -0.0137   0.7881   0.0811
  -5.400  -0.4547   0.00916   0.00330  -0.0135   0.7814   0.0840
