    alpha        CL         CD         CDi        CD0        CY         CM         Cl         Cn        L/D  
   -------     ------     ------     ------     ------     ------     ------     ------     ------    ------ 
     -8.00   0.207657   0.114144   0.038540   0.023287  -0.000076   0.651509  -0.000219   0.000259   1.819258
     -7.75   0.234182   0.114085   0.038637   0.023132  -0.000076   0.643566  -0.000215   0.000260   2.052690
     -7.50   0.260705   0.114096   0.038795   0.022985  -0.000076   0.635593  -0.000212   0.000260   2.284962
     -7.25   0.287216   0.114178   0.039016   0.022846  -0.000076   0.627655  -0.000208   0.000260   2.515505
     -7.00   0.313713   0.114331   0.039299   0.022715  -0.000077   0.619739  -0.000204   0.000261   2.743898
     -6.75   0.340198   0.114560   0.039652   0.022591  -0.000077   0.611955  -0.000199   0.000261   2.969611
     -6.50   0.366673   0.114862   0.040073   0.022473  -0.000077   0.604250  -0.000196   0.000261   3.192285
     -6.25   0.393134   0.115238   0.040557   0.022365  -0.000077   0.596583  -0.000190   0.000262   3.411481
     -6.00   0.419528   0.115693   0.041109   0.022268  -0.000077   0.589113  -0.000186   0.000262   3.626213
     -5.75   0.445899   0.116220   0.041723   0.022181  -0.000078   0.581676  -0.000181   0.000263   3.836672
     -5.50   0.472233   0.116819   0.042399   0.022104  -0.000078   0.574271  -0.000176   0.000263   4.042436
     -5.25   0.498509   0.117489   0.043138   0.022035  -0.000078   0.566973  -0.000172   0.000263   4.243023
     -5.00   0.524743   0.118230   0.043937   0.021976  -0.000078   0.559696  -0.000167   0.000264   4.438332
     -4.75   0.550920   0.119039   0.044797   0.021925  -0.000078   0.552459  -0.000162   0.000264   4.628068
     -4.50   0.577029   0.119918   0.045717   0.021884  -0.000079   0.545304  -0.000157   0.000265   4.811878
     -4.25   0.603092   0.120864   0.046696   0.021851  -0.000079   0.538143  -0.000152   0.000265   4.989830
     -4.00   0.629101   0.121877   0.047734   0.021826  -0.000079   0.531006  -0.000147   0.000265   5.161759
     -3.75   0.655059   0.122956   0.048831   0.021809  -0.000079   0.523874  -0.000143   0.000265   5.327573
     -3.50   0.680967   0.124101   0.049986   0.021799  -0.000080   0.516743  -0.000138   0.000266   5.487187
     -3.25   0.706824   0.125312   0.051199   0.021797  -0.000080   0.509589  -0.000134   0.000266   5.640515
     -3.00   0.732644   0.126593   0.052469   0.021808  -0.000080   0.502411  -0.000129   0.000266   5.787375
     -2.75   0.758427   0.127948   0.053798   0.021834  -0.000080   0.495228  -0.000124   0.000267   5.927607
     -2.50   0.784165   0.129368   0.055183   0.021867  -0.000080   0.488006  -0.000119   0.000267   6.061524
     -2.25   0.809853   0.130847   0.056626   0.021905  -0.000081   0.480755  -0.000114   0.000267   6.189288
     -2.00   0.835496   0.132382   0.058124   0.021941  -0.000081   0.473496  -0.000109   0.000267   6.311251
     -1.75   0.861088   0.133978   0.059679   0.021982  -0.000081   0.466224  -0.000104   0.000267   6.427106
     -1.50   0.886622   0.135632   0.061289   0.022026  -0.000081   0.458932  -0.000099   0.000267   6.536989
     -1.25   0.912084   0.137348   0.062956   0.022075  -0.000081   0.451596  -0.000094   0.000267   6.640685
     -1.00   0.937511   0.139122   0.064679   0.022127  -0.000082   0.444221  -0.000089   0.000267   6.738748
     -0.75   0.962912   0.140956   0.066458   0.022181  -0.000082   0.436843  -0.000084   0.000268   6.831306
     -0.50   0.988232   0.142850   0.068294   0.022239  -0.000082   0.429452  -0.000079   0.000268   6.917971
     -0.25   1.013488   0.144806   0.070185   0.022304  -0.000082   0.422022  -0.000074   0.000268   6.998930
      0.00   1.038708   0.146823   0.072133   0.022373  -0.000083   0.414567  -0.000069   0.000268   7.074569
      0.25   1.063901   0.148897   0.074136   0.022444  -0.000083   0.407095  -0.000063   0.000268   7.145208
      0.50   1.089071   0.151031   0.076194   0.022520  -0.000083   0.399581  -0.000058   0.000268   7.210918
      0.75   1.114250   0.153223   0.078307   0.022599  -0.000083   0.392001  -0.000053   0.000268   7.272090
      1.00   1.139429   0.155474   0.080474   0.022683  -0.000083   0.384359  -0.000047   0.000268   7.328762
      1.25   1.164589   0.157784   0.082696   0.022771  -0.000084   0.376657  -0.000042   0.000268   7.380881
      1.50   1.189723   0.160157   0.084973   0.022868  -0.000084   0.368900  -0.000037   0.000268   7.428461
      1.75   1.214863   0.162590   0.087303   0.022970  -0.000084   0.361099  -0.000031   0.000268   7.471959
      2.00   1.240011   0.165080   0.089688   0.023076  -0.000084   0.353254  -0.000025   0.000268   7.511571
      2.25   1.264792   0.167581   0.092075   0.023189  -0.000084   0.345440  -0.000020   0.000268   7.547330
      2.50   1.289835   0.170191   0.094558   0.023316  -0.000085   0.337454  -0.000014   0.000268   7.578755
      2.75   1.314865   0.172861   0.097091   0.023454  -0.000085   0.329409  -0.000009   0.000268   7.606479
      3.00   1.339930   0.175593   0.099678   0.023599  -0.000085   0.321308  -0.000003   0.000268   7.630867
      3.25   1.365140   0.178393   0.102323   0.023754  -0.000085   0.313097   0.000003   0.000267   7.652431
      3.50   1.390404   0.181258   0.105021   0.023921  -0.000085   0.304758   0.000010   0.000267   7.670837
      3.75   1.415796   0.184195   0.107775   0.024103  -0.000086   0.296281   0.000016   0.000267   7.686403
      4.00   1.441277   0.187198   0.110584   0.024297  -0.000086   0.287657   0.000023   0.000267   7.699229
      4.25   1.466839   0.190265   0.113447   0.024501  -0.000086   0.278942   0.000028   0.000267   7.709446
      4.50   1.492637   0.193410   0.116375   0.024718  -0.000086   0.270086   0.000036   0.000266   7.717482
      4.75   1.518530   0.196625   0.119360   0.024948  -0.000086   0.261132   0.000042   0.000266   7.722955
      5.00   1.544499   0.199919   0.122406   0.025197  -0.000087   0.252017   0.000048   0.000266   7.725605
      5.25   1.570469   0.203280   0.125505   0.025459  -0.000087   0.242802   0.000054   0.000265   7.725638
      5.50   1.596434   0.206704   0.128656   0.025731  -0.000087   0.233518   0.000059   0.000265   7.723290
      5.75   1.622403   0.210196   0.131861   0.026018  -0.000087   0.224164   0.000066   0.000265   7.718532
      6.00   1.648540   0.213776   0.135133   0.026327  -0.000087   0.214651   0.000073   0.000265   7.711518
      6.25   1.674752   0.217434   0.138463   0.026654  -0.000088   0.205027   0.000079   0.000264   7.702360
      6.50   1.700999   0.221164   0.141847   0.027000  -0.000088   0.195376   0.000085   0.000264   7.691134
      6.75   1.727277   0.224973   0.145293   0.027363  -0.000088   0.185621   0.000090   0.000264   7.677701
      7.00   1.753580   0.228864   0.148800   0.027748  -0.000088   0.175887   0.000095   0.000263   7.662098
      7.25   1.779892   0.232834   0.152368   0.028149  -0.000088   0.166098   0.000100   0.000263   7.644465
      7.50   1.805994   0.236839   0.155954   0.028568  -0.000088   0.156254   0.000106   0.000262   7.625407
      7.75   1.831539   0.240899   0.159580   0.029002  -0.000089   0.146600   0.000107   0.000262   7.602950
      8.00   1.856483   0.245003   0.163230   0.029456  -0.000089   0.137243   0.000109   0.000262   7.577391
