    alpha        CL         CD         CDi        CD0        CY         CM         Cl         Cn        L/D  
   -------     ------     ------     ------     ------     ------     ------     ------     ------    ------ 
     -8.00  -0.520275   0.098936   0.011498   0.031300   0.000000  -0.591490   0.000000   0.000000  -5.258678
     -7.75  -0.493594   0.096975   0.009966   0.030870   0.000000  -0.566429   0.000000   0.000000  -5.089929
     -7.50  -0.466777   0.095119   0.008498   0.030483   0.000000  -0.541208   0.000000   0.000000  -4.907289
     -7.25  -0.439916   0.093364   0.007102   0.030123   0.000000  -0.515910   0.000000   0.000000  -4.711856
     -7.00  -0.413092   0.091683   0.005781   0.029763   0.000000  -0.490621   0.000000   0.000000  -4.505667
     -6.75  -0.386272   0.090091   0.004534   0.029418   0.000000  -0.465307   0.000000   0.000000  -4.287579
     -6.50  -0.359431   0.088591   0.003361   0.029092   0.000000  -0.439944   0.000000   0.000000  -4.057189
     -6.25  -0.332577   0.087179   0.002261   0.028780   0.000000  -0.414544   0.000000   0.000000  -3.814860
     -6.00  -0.305741   0.085852   0.001236   0.028478   0.000000  -0.389134   0.000000   0.000000  -3.561256
     -5.75  -0.278932   0.084597   0.000287   0.028172   0.000000  -0.363730   0.000000   0.000000  -3.297191
     -5.50  -0.252120   0.083419  -0.000587   0.027867   0.000000  -0.338300  -0.000000  -0.000000  -3.022339
     -5.25  -0.225308   0.082320  -0.001386   0.027567   0.000000  -0.312843   0.000000   0.000000  -2.736998
     -5.00  -0.198583   0.081301  -0.002104   0.027267   0.000000  -0.287449   0.000000   0.000000  -2.442560
     -4.75  -0.171760   0.080361  -0.002753   0.026976   0.000000  -0.261928   0.000000   0.000000  -2.137348
     -4.50  -0.144926   0.079506  -0.003327   0.026694   0.000000  -0.236377   0.000000   0.000000  -1.822843
     -4.25  -0.118087   0.078738  -0.003825   0.026425   0.000000  -0.210797  -0.000000   0.000000  -1.499749
     -4.00  -0.091208   0.078066  -0.004248   0.026176   0.000000  -0.185154   0.000000   0.000000  -1.168336
     -3.75  -0.064329   0.077493  -0.004595   0.025949   0.000000  -0.159481   0.000000   0.000000  -0.830133
     -3.50  -0.037390   0.077033  -0.004866   0.025760   0.000000  -0.133697   0.000000   0.000000  -0.485373
     -3.25  -0.010414   0.076684  -0.005061   0.025606   0.000000  -0.107832   0.000000   0.000000  -0.135803
     -3.00   0.016579   0.076443  -0.005178   0.025483   0.000000  -0.081902   0.000000   0.000000   0.216879
     -2.75   0.043585   0.076313  -0.005217   0.025391   0.000000  -0.055908   0.000000   0.000000   0.571136
     -2.50   0.070579   0.076279  -0.005179   0.025319   0.000000  -0.029890   0.000000  -0.000000   0.925277
     -2.25   0.097570   0.076342  -0.005061   0.025265   0.000000  -0.003836   0.000000   0.000000   1.278070
     -2.00   0.124542   0.076495  -0.004865   0.025221   0.000000   0.022233   0.000000  -0.000000   1.628108
     -1.75   0.151484   0.076735  -0.004590   0.025187   0.000000   0.048308   0.000000   0.000000   1.974111
     -1.50   0.178432   0.077066  -0.004236   0.025163   0.000000   0.074425   0.000000  -0.000000   2.315311
     -1.25   0.205344   0.077485  -0.003803   0.025150   0.000000   0.100542   0.000000  -0.000000   2.650094
     -1.00   0.232217   0.077990  -0.003290   0.025142   0.000000   0.126655   0.000000  -0.000000   2.977522
     -0.75   0.259066   0.078574  -0.002699   0.025135   0.000000   0.152772   0.000000   0.000000   3.297087
     -0.50   0.285896   0.079242  -0.002028   0.025131   0.000000   0.178900   0.000000  -0.000000   3.607881
     -0.25   0.312710   0.079994  -0.001278   0.025133   0.000000   0.205052   0.000000  -0.000000   3.909184
      0.00   0.339463   0.080831  -0.000450   0.025143   0.000000   0.231180   0.000000  -0.000000   4.199649
      0.25   0.366203   0.081750   0.000457   0.025155   0.000000   0.257297   0.000000  -0.000000   4.479529
      0.50   0.393018   0.082748   0.001445   0.025165   0.000000   0.283458  -0.000000   0.000000   4.749582
      0.75   0.419881   0.083828   0.002511   0.025178   0.000000   0.309639   0.000000  -0.000000   5.008846
      1.00   0.446744   0.084997   0.003656   0.025203   0.000000   0.335794   0.000000  -0.000000   5.255992
      1.25   0.473626   0.086251   0.004878   0.025234   0.000000   0.361937  -0.000000  -0.000000   5.491266
      1.50   0.500556   0.087581   0.006180   0.025262   0.000000   0.388089  -0.000000  -0.000000   5.715318
      1.75   0.527539   0.088992   0.007563   0.025291   0.000000   0.414262   0.000000  -0.000000   5.927906
      2.00   0.554527   0.090493   0.009022   0.025332   0.000000   0.440420  -0.000000   0.000000   6.127856
      2.25   0.581527   0.092082   0.010558   0.025385   0.000000   0.466572   0.000000  -0.000000   6.315345
      2.50   0.608804   0.093766   0.012191   0.025437   0.000000   0.492960   0.000000  -0.000000   6.492825
      2.75   0.635898   0.095517   0.013887   0.025491   0.000000   0.519131  -0.000000  -0.000000   6.657422
      3.00   0.663005   0.097357   0.015661   0.025557   0.000000   0.545298  -0.000000  -0.000000   6.810019
      3.25   0.690147   0.099282   0.017514   0.025630   0.000000   0.571473  -0.000000  -0.000000   6.951371
      3.50   0.717317   0.101290   0.019444   0.025708   0.000000   0.597633   0.000000  -0.000000   7.081795
      3.75   0.744503   0.103385   0.021452   0.025795   0.000000   0.623773   0.000000   0.000000   7.201232
      4.00   0.771664   0.105573   0.023533   0.025902   0.000000   0.649875   0.000000  -0.000000   7.309260
      4.25   0.798849   0.107848   0.025692   0.026017   0.000000   0.675971   0.000000  -0.000000   7.407168
      4.50   0.826090   0.110202   0.027930   0.026134   0.000000   0.702082  -0.000000  -0.000000   7.496129
      4.75   0.853354   0.112643   0.030245   0.026259   0.000000   0.728191   0.000000  -0.000000   7.575763
      5.00   0.880588   0.115176   0.032633   0.026405   0.000000   0.754256  -0.000000  -0.000000   7.645563
      5.25   0.907803   0.117799   0.035093   0.026568   0.000000   0.780271  -0.000000  -0.000000   7.706354
      5.50   0.935048   0.120505   0.037629   0.026737   0.000000   0.806281  -0.000000  -0.000000   7.759417
      5.75   0.962285   0.123293   0.040237   0.026918   0.000000   0.832247   0.000000  -0.000000   7.804832
      6.00   0.989490   0.126171   0.042913   0.027120   0.000000   0.858154   0.000000  -0.000000   7.842469
      6.25   1.016664   0.129138   0.045657   0.027343   0.000000   0.884011   0.000000  -0.000000   7.872682
      6.50   1.043786   0.132192   0.048466   0.027588   0.000000   0.909809   0.000000  -0.000000   7.895960
